ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2024-11-06,DePaul,,Mercyhurst,REG (Non-Conf),W 74-53,,1,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Ellery Minch,https://www.sports-reference.com/cbb/players/ellery-minch-1.html,depaul,2024-25
2,2,2,2024-11-09,DePaul,,Princeton,REG (Non-Conf),L 58-79,,4,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,1,0,-1.1,Ellery Minch,https://www.sports-reference.com/cbb/players/ellery-minch-1.html,depaul,2024-25
3,3,4,2024-11-17,DePaul,,Texas,REG (Non-Conf),L 61-91,,4,2,2,1.000,2,2,1.000,0,0,1.500,0,0,0,0,0,0,0,0,0,0,6,5.4,Ellery Minch,https://www.sports-reference.com/cbb/players/ellery-minch-1.html,depaul,2024-25
4,4,5,2024-11-21,DePaul,@,Green Bay,REG (Non-Conf),L 57-70,,6,0,2,.000,0,2,.000,0,0,.000,0,0,0,0,0,0,0,0,0,1,0,-1.8,Ellery Minch,https://www.sports-reference.com/cbb/players/ellery-minch-1.html,depaul,2024-25
5,5,6,2024-11-25,DePaul,N,Oklahoma,REG (Non-Conf),L 62-85,,5,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,1,1,1,0,-1.4,Ellery Minch,https://www.sports-reference.com/cbb/players/ellery-minch-1.html,depaul,2024-25
6,6,7,2024-11-27,DePaul,N,Kansas State,REG (Non-Conf),L 66-92,,9,3,5,.600,3,5,.600,0,0,.900,0,0,0,0,0,0,0,0,0,1,9,6.3,Ellery Minch,https://www.sports-reference.com/cbb/players/ellery-minch-1.html,depaul,2024-25
7,7,8,2024-12-01,DePaul,,SIU Edwardsville,REG (Non-Conf),W 66-42,,13,2,4,.500,2,4,.500,0,0,.750,0,0,0,2,2,1,1,0,1,0,6,5.3,Ellery Minch,https://www.sports-reference.com/cbb/players/ellery-minch-1.html,depaul,2024-25
8,8,9,2024-12-04,DePaul,@,Northwestern,REG (Non-Conf),L 56-64,,6,0,3,.000,0,3,.000,0,0,.000,0,0,1,1,2,0,0,0,1,0,0,-2.1,Ellery Minch,https://www.sports-reference.com/cbb/players/ellery-minch-1.html,depaul,2024-25
9,9,10,2024-12-08,DePaul,@,Michigan State,REG (Non-Conf),L 61-89,,5,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Ellery Minch,https://www.sports-reference.com/cbb/players/ellery-minch-1.html,depaul,2024-25
10,10,11,2024-12-13,DePaul,,Illinois–Chicago,REG (Non-Conf),W 73-56,,1,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Ellery Minch,https://www.sports-reference.com/cbb/players/ellery-minch-1.html,depaul,2024-25
