ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,3,2022-11-13,East Carolina,,UNC Wilmington,REG (Non-Conf),W 76-49,,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Samora Watson,https://www.sports-reference.com/cbb/players/samora-watson-1.html,east-carolina,2022-23
2,2,5,2022-11-20,East Carolina,,Charleston Southern,REG (Non-Conf),W 64-31,,1,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Samora Watson,https://www.sports-reference.com/cbb/players/samora-watson-1.html,east-carolina,2022-23
3,3,12,2022-12-19,East Carolina,,North Carolina A&T,REG (Non-Conf),W 79-49,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Samora Watson,https://www.sports-reference.com/cbb/players/samora-watson-1.html,east-carolina,2022-23
4,4,33,2023-03-18,East Carolina,@,Texas,ROUND-64,L 40-79,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Samora Watson,https://www.sports-reference.com/cbb/players/samora-watson-1.html,east-carolina,2022-23
