ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2021-11-15,Iowa State,,South Dakota State,REG (Non-Conf),W 75-56,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mary Kate King,https://www.sports-reference.com/cbb/players/mary-kate-king-1.html,iowa-state,2021-22
2,2,4,2021-11-21,Iowa State,,Southern,REG (Non-Conf),W 96-55,,5,0,1,.000,0,0,0,1,.000,.000,0,0,1,0,1,0,0,0,0,0,0,0.0,Mary Kate King,https://www.sports-reference.com/cbb/players/mary-kate-king-1.html,iowa-state,2021-22
3,3,6,2021-11-27,Iowa State,,Penn State,REG (Non-Conf),W 93-59,,3,1,1,1.000,0,0,1,1,1.000,1.000,0,0,1,1,2,0,0,0,0,0,2,2.7,Mary Kate King,https://www.sports-reference.com/cbb/players/mary-kate-king-1.html,iowa-state,2021-22
4,4,9,2021-12-05,Iowa State,,Longwood,REG (Non-Conf),W 94-56,,6,0,0,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,1.0,Mary Kate King,https://www.sports-reference.com/cbb/players/mary-kate-king-1.html,iowa-state,2021-22
5,5,12,2021-12-19,Iowa State,,Prairie View A&M,REG (Non-Conf),W 108-39,,7,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Mary Kate King,https://www.sports-reference.com/cbb/players/mary-kate-king-1.html,iowa-state,2021-22
6,6,15,2022-01-08,Iowa State,,TCU,REG (Conf),W 78-47,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mary Kate King,https://www.sports-reference.com/cbb/players/mary-kate-king-1.html,iowa-state,2021-22
7,7,21,2022-01-29,Iowa State,@,Texas Tech,REG (Conf),W 86-65,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mary Kate King,https://www.sports-reference.com/cbb/players/mary-kate-king-1.html,iowa-state,2021-22
8,8,22,2022-02-02,Iowa State,,Kansas State,REG (Conf),W 70-55,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mary Kate King,https://www.sports-reference.com/cbb/players/mary-kate-king-1.html,iowa-state,2021-22
9,9,23,2022-02-05,Iowa State,,Oklahoma State,REG (Conf),W 76-58,,2,0,0,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,1,0,0.3,Mary Kate King,https://www.sports-reference.com/cbb/players/mary-kate-king-1.html,iowa-state,2021-22
10,10,25,2022-02-16,Iowa State,@,Texas,REG (Conf),L 48-73,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mary Kate King,https://www.sports-reference.com/cbb/players/mary-kate-king-1.html,iowa-state,2021-22
11,11,26,2022-02-19,Iowa State,,Oklahoma,REG (Conf),W 89-67,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mary Kate King,https://www.sports-reference.com/cbb/players/mary-kate-king-1.html,iowa-state,2021-22
12,12,27,2022-02-23,Iowa State,@,Kansas,REG (Conf),W 85-59,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mary Kate King,https://www.sports-reference.com/cbb/players/mary-kate-king-1.html,iowa-state,2021-22
