ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2024-11-08,Austin Peay,@,Vanderbilt,REG (Non-Conf),L 37-93,,3,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Rose Azmoudeh,https://www.sports-reference.com/cbb/players/rose-azmoudeh-1.html,austin-peay,2024-25
2,2,3,2024-11-15,Austin Peay,@,Indiana State,REG (Non-Conf),W 74-56,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Rose Azmoudeh,https://www.sports-reference.com/cbb/players/rose-azmoudeh-1.html,austin-peay,2024-25
3,3,5,2024-11-24,Austin Peay,,Mercer,REG (Non-Conf),W 66-53,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Rose Azmoudeh,https://www.sports-reference.com/cbb/players/rose-azmoudeh-1.html,austin-peay,2024-25
4,4,8,2024-12-07,Austin Peay,@,Murray State,REG (Non-Conf),L 80-116,,10,2,3,.667,2,3,.667,0,0,1.000,1,3,.333,0,0,0,0,0,0,0,1,7,4.5,Rose Azmoudeh,https://www.sports-reference.com/cbb/players/rose-azmoudeh-1.html,austin-peay,2024-25
5,5,9,2024-12-15,Austin Peay,@,California,REG (Non-Conf),L 45-71,,3,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Rose Azmoudeh,https://www.sports-reference.com/cbb/players/rose-azmoudeh-1.html,austin-peay,2024-25
6,6,10,2024-12-21,Austin Peay,@,High Point,REG (Non-Conf),W 59-46,,9,0,1,.000,0,1,.000,0,0,.000,0,0,,0,3,3,1,1,0,1,1,0,0.5,Rose Azmoudeh,https://www.sports-reference.com/cbb/players/rose-azmoudeh-1.html,austin-peay,2024-25
7,7,11,2024-12-28,Austin Peay,,,REG (Non-Conf),W 73-66,,5,1,2,.500,1,2,.500,0,0,.750,0,0,,0,0,0,0,0,0,0,1,3,1.6,Rose Azmoudeh,https://www.sports-reference.com/cbb/players/rose-azmoudeh-1.html,austin-peay,2024-25
8,8,13,2025-01-04,Austin Peay,,North Florida,REG (Conf),W 60-52,,5,0,2,.000,0,2,.000,0,0,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,Rose Azmoudeh,https://www.sports-reference.com/cbb/players/rose-azmoudeh-1.html,austin-peay,2024-25
9,9,14,2025-01-08,Austin Peay,@,North Alabama,REG (Conf),W 75-57,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Rose Azmoudeh,https://www.sports-reference.com/cbb/players/rose-azmoudeh-1.html,austin-peay,2024-25
10,10,18,2025-01-23,Austin Peay,,North Alabama,REG (Conf),W 71-60,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Rose Azmoudeh,https://www.sports-reference.com/cbb/players/rose-azmoudeh-1.html,austin-peay,2024-25
11,11,22,2025-02-06,Austin Peay,@,Queens (NC),REG (Conf),L 43-52,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Rose Azmoudeh,https://www.sports-reference.com/cbb/players/rose-azmoudeh-1.html,austin-peay,2024-25
12,12,27,2025-02-22,Austin Peay,@,Lipscomb,REG (Conf),L 64-66,,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Rose Azmoudeh,https://www.sports-reference.com/cbb/players/rose-azmoudeh-1.html,austin-peay,2024-25
