ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,6,2023-11-28,South Dakota State,,Washburn,REG (Non-Conf),W 95-58,,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
2,2,8,2023-12-09,South Dakota State,@,Northern Iowa,REG (Non-Conf),W 78-59,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
3,3,9,2023-12-12,South Dakota State,,Dordt,REG (Non-Conf),W 66-54,,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
4,4,12,2023-12-31,South Dakota State,@,North Dakota,REG (Conf),W 74-53,,3,0,1,.000,0,1,.000,0,0,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
5,5,15,2024-01-11,South Dakota State,,St. Thomas,REG (Conf),W 75-55,,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
6,6,16,2024-01-13,South Dakota State,,Denver,REG (Conf),W 68-50,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
7,7,17,2024-01-18,South Dakota State,@,Omaha,REG (Conf),W 92-55,,3,1,1,1.000,1,1,1.000,0,0,1.500,0,0,,0,0,0,0,0,0,0,0,3,2.7,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
8,8,19,2024-01-25,South Dakota State,@,Kansas City,REG (Conf),W 72-49,,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
9,9,23,2024-02-10,South Dakota State,@,Oral Roberts,REG (Conf),W 103-77,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
10,10,24,2024-02-15,South Dakota State,,Kansas City,REG (Conf),W 74-53,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
11,11,25,2024-02-17,South Dakota State,,Omaha,REG (Conf),W 79-57,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
12,12,27,2024-02-24,South Dakota State,@,St. Thomas,REG (Conf),W 97-63,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
13,13,28,2024-02-29,South Dakota State,,North Dakota,REG (Conf),W 103-47,,4,0,0,,0,0,,0,0,,1,2,.500,0,1,1,1,0,0,0,0,1,1.6,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
14,14,33,2024-03-23,South Dakota State,N,Utah,ROUND-64,L 54-68,,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Isabel Aesoph,https://www.sports-reference.com/cbb/players/isabel-aesoph-1.html,south-dakota-state,2023-24
