ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2024-11-04,Winthrop,@,Georgia Tech,REG (Non-Conf),L 39-85,,5,0,1,.000,0,0,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,2,0,-1.2,Persais Williams,https://www.sports-reference.com/cbb/players/persais-williams-1.html,winthrop,2024-25
2,2,2,2024-11-10,Winthrop,,Paine,REG (Non-Conf),W 111-32,,11,3,5,.600,0,0,3,5,.600,.600,0,0,,2,0,2,3,0,0,0,2,6,6.4,Persais Williams,https://www.sports-reference.com/cbb/players/persais-williams-1.html,winthrop,2024-25
3,3,7,2024-11-26,Winthrop,,Johnson/Wales-NC,REG (Non-Conf),W 96-39,,13,2,2,1.000,0,0,2,2,1.000,1.000,2,5,.400,1,2,3,0,2,0,0,3,6,6.3,Persais Williams,https://www.sports-reference.com/cbb/players/persais-williams-1.html,winthrop,2024-25
4,4,10,2024-12-11,Winthrop,,South Carolina State,REG (Non-Conf),W 55-46,,1,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Persais Williams,https://www.sports-reference.com/cbb/players/persais-williams-1.html,winthrop,2024-25
5,5,13,2024-12-29,Winthrop,@,Tennessee,REG (Non-Conf),L 50-114,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Persais Williams,https://www.sports-reference.com/cbb/players/persais-williams-1.html,winthrop,2024-25
6,6,17,2025-01-11,Winthrop,@,Longwood,REG (Conf),L 59-77,,1,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Persais Williams,https://www.sports-reference.com/cbb/players/persais-williams-1.html,winthrop,2024-25
7,7,19,2025-01-18,Winthrop,,UNC Asheville,REG (Conf),W 63-43,,1,0,1,.000,0,0,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Persais Williams,https://www.sports-reference.com/cbb/players/persais-williams-1.html,winthrop,2024-25
8,8,20,2025-01-25,Winthrop,,High Point,REG (Conf),L 55-73,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Persais Williams,https://www.sports-reference.com/cbb/players/persais-williams-1.html,winthrop,2024-25
