ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2021-11-09,North Dakota,@,Weber State,REG (Non-Conf),L 57-72,,6,0,0,,0,0,,0,0,,,0,0,0,0,0,1,1,0,0,0,0,1.7,Carlee Sieben,https://www.sports-reference.com/cbb/players/carlee-sieben-1.html,north-dakota,2021-22
2,2,2,2021-11-13,North Dakota,@,UTEP,REG (Non-Conf),L 69-89,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0.7,Carlee Sieben,https://www.sports-reference.com/cbb/players/carlee-sieben-1.html,north-dakota,2021-22
3,3,3,2021-11-18,North Dakota,,Montana,REG (Non-Conf),L 51-72,,3,1,2,.500,1,2,.500,0,0,,.750,0,0,0,0,0,0,0,0,0,0,3,2.0,Carlee Sieben,https://www.sports-reference.com/cbb/players/carlee-sieben-1.html,north-dakota,2021-22
4,4,6,2021-11-28,North Dakota,@,Brown,REG (Non-Conf),W 65-46,,2,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,0,0,0,0,1,0,1,0,3,2.7,Carlee Sieben,https://www.sports-reference.com/cbb/players/carlee-sieben-1.html,north-dakota,2021-22
5,5,8,2021-12-04,North Dakota,,Minn.-Morris,REG (Non-Conf),W 97-55,,13,3,6,.500,1,4,.250,2,2,1.000,.583,0,0,0,2,2,1,1,0,0,1,7,5.9,Carlee Sieben,https://www.sports-reference.com/cbb/players/carlee-sieben-1.html,north-dakota,2021-22
6,6,9,2021-12-11,North Dakota,@,Marquette,REG (Non-Conf),L 65-89,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Carlee Sieben,https://www.sports-reference.com/cbb/players/carlee-sieben-1.html,north-dakota,2021-22
7,7,13,2021-12-30,North Dakota,@,South Dakota,REG (Conf),L 46-85,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Carlee Sieben,https://www.sports-reference.com/cbb/players/carlee-sieben-1.html,north-dakota,2021-22
8,8,14,2022-01-01,North Dakota,@,South Dakota State,REG (Conf),L 54-72,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Carlee Sieben,https://www.sports-reference.com/cbb/players/carlee-sieben-1.html,north-dakota,2021-22
9,9,19,2022-01-20,North Dakota,,Oral Roberts,REG (Conf),W 53-34,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Carlee Sieben,https://www.sports-reference.com/cbb/players/carlee-sieben-1.html,north-dakota,2021-22
10,10,25,2022-02-10,North Dakota,,St. Thomas,REG (Conf),W 74-61,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Carlee Sieben,https://www.sports-reference.com/cbb/players/carlee-sieben-1.html,north-dakota,2021-22
11,11,28,2022-02-19,North Dakota,@,Oral Roberts,REG (Conf),L 73-89,,1,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Carlee Sieben,https://www.sports-reference.com/cbb/players/carlee-sieben-1.html,north-dakota,2021-22
