ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,13,2022-12-22,Coppin State,@,George Washington,REG (Non-Conf),L 51-61,,3,0,1,.000,0,0,0,1,.000,.000,0,0,0,0,0,0,0,1,0,0,0,0.0,LaShawna Robinson,https://www.sports-reference.com/cbb/players/lashawna-robinson-1.html,coppin-state,2022-23
2,2,14,2022-12-29,Coppin State,@,Akron,REG (Non-Conf),L 76-85 (OT),,22,2,2,1.000,0,0,2,2,1.000,1.000,0,0,1,4,5,0,1,1,0,1,4,6.6,LaShawna Robinson,https://www.sports-reference.com/cbb/players/lashawna-robinson-1.html,coppin-state,2022-23
3,3,15,2022-12-31,Coppin State,@,Kent State,REG (Non-Conf),L 69-72 (OT),,3,0,1,.000,0,0,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,LaShawna Robinson,https://www.sports-reference.com/cbb/players/lashawna-robinson-1.html,coppin-state,2022-23
4,4,16,2023-01-09,Coppin State,,North Carolina Central,REG (Conf),W 72-67,,3,0,0,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,1,0,0.6,LaShawna Robinson,https://www.sports-reference.com/cbb/players/lashawna-robinson-1.html,coppin-state,2022-23
5,5,17,2023-01-14,Coppin State,,Morgan State,REG (Conf),L 46-61,,5,0,0,,0,0,0,0,,,0,0,1,0,1,0,0,0,1,1,0,-0.7,LaShawna Robinson,https://www.sports-reference.com/cbb/players/lashawna-robinson-1.html,coppin-state,2022-23
6,6,19,2023-01-23,Coppin State,@,Howard,REG (Conf),L 58-62,,4,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,2,0,-1.8,LaShawna Robinson,https://www.sports-reference.com/cbb/players/lashawna-robinson-1.html,coppin-state,2022-23
7,7,20,2023-02-04,Coppin State,,South Carolina State,REG (Conf),L 61-63,,3,0,0,,0,0,0,0,,,0,0,0,2,2,1,0,0,0,0,0,1.3,LaShawna Robinson,https://www.sports-reference.com/cbb/players/lashawna-robinson-1.html,coppin-state,2022-23
8,8,22,2023-02-11,Coppin State,@,South Carolina State,REG (Conf),L 50-61,,3,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,LaShawna Robinson,https://www.sports-reference.com/cbb/players/lashawna-robinson-1.html,coppin-state,2022-23
9,9,23,2023-02-13,Coppin State,@,North Carolina Central,REG (Conf),L 54-67,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,LaShawna Robinson,https://www.sports-reference.com/cbb/players/lashawna-robinson-1.html,coppin-state,2022-23
10,10,28,2023-02-27,Coppin State,@,Delaware State,REG (Conf),W 34-32,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,LaShawna Robinson,https://www.sports-reference.com/cbb/players/lashawna-robinson-1.html,coppin-state,2022-23
