ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2024-11-08,Delaware State,@,Dayton,REG (Non-Conf),L 44-79,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Destaney Harris,https://www.sports-reference.com/cbb/players/destaney-harris-1.html,delaware-state,2024-25
2,2,3,2024-11-10,Delaware State,@,Cincinnati,REG (Non-Conf),L 46-83,,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,Destaney Harris,https://www.sports-reference.com/cbb/players/destaney-harris-1.html,delaware-state,2024-25
3,3,4,2024-11-14,Delaware State,,Ole Miss,REG (Non-Conf),L 42-80,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Destaney Harris,https://www.sports-reference.com/cbb/players/destaney-harris-1.html,delaware-state,2024-25
4,4,5,2024-11-16,Delaware State,,Cheyney,REG (Non-Conf),W 80-44,,4,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,3,0,0,-2.7,Destaney Harris,https://www.sports-reference.com/cbb/players/destaney-harris-1.html,delaware-state,2024-25
5,5,6,2024-11-20,Delaware State,@,Pittsburgh,REG (Non-Conf),L 45-80,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Destaney Harris,https://www.sports-reference.com/cbb/players/destaney-harris-1.html,delaware-state,2024-25
6,6,9,2024-12-07,Delaware State,@,Delaware,REG (Non-Conf),L 26-73,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Destaney Harris,https://www.sports-reference.com/cbb/players/destaney-harris-1.html,delaware-state,2024-25
7,7,10,2024-12-09,Delaware State,@,VCU,REG (Non-Conf),L 43-79,,2,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,Destaney Harris,https://www.sports-reference.com/cbb/players/destaney-harris-1.html,delaware-state,2024-25
8,8,12,2024-12-20,Delaware State,@,Pennsylvania,REG (Non-Conf),L 45-72,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Destaney Harris,https://www.sports-reference.com/cbb/players/destaney-harris-1.html,delaware-state,2024-25
9,9,19,2025-02-01,Delaware State,@,Coppin State,REG (Conf),L 57-90,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Destaney Harris,https://www.sports-reference.com/cbb/players/destaney-harris-1.html,delaware-state,2024-25
10,10,21,2025-02-08,Delaware State,,VU Lynchburg,REG (Non-Conf),W 84-55,,3,1,1,1.000,1,1,1.000,0,0,1.500,0,0,,0,0,0,0,0,0,1,0,3,1.7,Destaney Harris,https://www.sports-reference.com/cbb/players/destaney-harris-1.html,delaware-state,2024-25
