ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,8,18,2023-01-23,Alcorn State,,Bethune-Cookman,REG (Conf),W 58-49,*,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Acacia Stewart,https://www.sports-reference.com/cbb/players/acacia-stewart-1.html,alcorn-state,2022-23
2,9,22,2023-02-06,Alcorn State,,Mississippi Valley State,REG (Conf),W 74-51,,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,Acacia Stewart,https://www.sports-reference.com/cbb/players/acacia-stewart-1.html,alcorn-state,2022-23
