ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
22,22,22,2025-02-05,West Virginia,,Kansas,REG (Conf),W 76-43,,12,2,3,.667,0,0,2,3,.667,.667,2,2,1.000,1,2,3,0,0,1,2,1,6,4.3,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
23,23,23,2025-02-08,West Virginia,@,Houston,REG (Conf),W 79-51,,15,2,4,.500,0,0,2,4,.500,.500,0,3,.000,0,1,1,1,1,0,1,1,4,1.4,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
24,24,24,2025-02-11,West Virginia,@,Baylor,REG (Conf),L 65-75,,20,2,3,.667,0,0,2,3,.667,.667,0,0,,2,1,3,1,0,0,1,4,4,2.5,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
25,25,25,2025-02-15,West Virginia,,Cincinnati,REG (Conf),W 69-50,,8,1,3,.333,0,0,1,3,.333,.333,0,0,,0,1,1,0,0,1,0,1,2,0.9,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
26,26,26,2025-02-17,West Virginia,,Kansas State,REG (Conf),W 70-57,,26,5,7,.714,0,0,5,7,.714,.714,1,1,1.000,3,2,5,0,0,0,1,1,11,9.4,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
27,27,27,2025-02-23,West Virginia,@,TCU,REG (Conf),L 50-71,,18,1,7,.143,0,0,1,7,.143,.143,1,2,.500,4,1,5,0,0,0,2,2,3,-1.6,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
28,28,28,2025-02-26,West Virginia,,Utah,REG (Conf),W 75-46,,20,1,5,.200,0,0,1,5,.200,.200,0,0,,1,2,3,0,2,1,1,4,2,0.3,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
29,29,29,2025-03-01,West Virginia,@,Cincinnati,REG (Conf),W 85-69,,23,7,10,.700,0,0,7,10,.700,.700,2,4,.500,5,3,8,0,0,0,1,1,16,14.0,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
30,30,30,2025-03-07,West Virginia,N,Kansas State,CTOURN,W 73-69,,30,4,5,.800,0,0,4,5,.800,.800,3,4,.750,6,0,6,1,1,1,2,4,11,11.7,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
31,31,31,2025-03-08,West Virginia,N,TCU,CTOURN,L 65-71,,12,0,1,.000,0,0,0,1,.000,.000,0,0,,1,4,5,0,0,0,1,3,0,-1.0,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
32,32,32,2025-03-22,West Virginia,N,Columbia,ROUND-64,W 78-59,,23,5,8,.625,0,0,5,8,.625,.625,2,2,1.000,3,6,9,0,1,2,1,2,12,12.9,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
33,33,33,2025-03-24,West Virginia,@,North Carolina,ROUND-32,L 47-58,,9,1,1,1.000,0,0,1,1,1.000,1.000,2,2,1.000,0,1,1,0,0,0,1,5,4,1.0,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
