ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,97,1,2024-11-04,Toledo,,Marshall,REG (Non-Conf),W 71-68,,6,0,0,,0,0,,0,0,,1,3,.333,0,0,0,0,0,0,0,2,1,-0.6,Emmi Rinat,https://www.sports-reference.com/cbb/players/emmi-rinat-1.html,toledo,2024-25
2,98,2,2024-11-13,Toledo,@,Iowa,REG (Non-Conf),L 57-94,,4,1,1,1.000,1,1,1.000,0,0,1.500,0,0,,0,0,0,0,0,0,1,0,3,1.7,Emmi Rinat,https://www.sports-reference.com/cbb/players/emmi-rinat-1.html,toledo,2024-25
3,99,3,2024-11-17,Toledo,,Northern Kentucky,REG (Non-Conf),W 76-73,,5,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,0,0,1,2,0,-2.5,Emmi Rinat,https://www.sports-reference.com/cbb/players/emmi-rinat-1.html,toledo,2024-25
