ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2023-11-14,Texas Southern,,North American,REG (Non-Conf),W 109-67,,4,0,0,,0,0,0,0,,,0,0,0,1,1,1,0,1,0,0,0,1.7,Ashara Spruill,https://www.sports-reference.com/cbb/players/ashara-spruill-1.html,texas-southern,2023-24
2,2,3,2023-11-17,Texas Southern,@,Old Dominion,REG (Non-Conf),L 38-57,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Ashara Spruill,https://www.sports-reference.com/cbb/players/ashara-spruill-1.html,texas-southern,2023-24
3,3,7,2023-12-12,Texas Southern,@,Houston,REG (Non-Conf),L 42-89,,1,0,1,.000,0,0,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Ashara Spruill,https://www.sports-reference.com/cbb/players/ashara-spruill-1.html,texas-southern,2023-24
4,4,8,2023-12-15,Texas Southern,@,Tulsa,REG (Non-Conf),L 45-82,,3,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Ashara Spruill,https://www.sports-reference.com/cbb/players/ashara-spruill-1.html,texas-southern,2023-24
5,5,10,2023-12-20,Texas Southern,,California Baptist,REG (Non-Conf),L 62-83,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Ashara Spruill,https://www.sports-reference.com/cbb/players/ashara-spruill-1.html,texas-southern,2023-24
6,6,13,2024-01-08,Texas Southern,@,Grambling State,REG (Conf),W 72-67,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Ashara Spruill,https://www.sports-reference.com/cbb/players/ashara-spruill-1.html,texas-southern,2023-24
7,7,15,2024-01-15,Texas Southern,,Mississippi Valley State,REG (Conf),L 69-70,,3,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,1,1,0,0,0.0,Ashara Spruill,https://www.sports-reference.com/cbb/players/ashara-spruill-1.html,texas-southern,2023-24
8,8,18,2024-01-27,Texas Southern,,Alabama A&M,REG (Conf),W 61-55,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Ashara Spruill,https://www.sports-reference.com/cbb/players/ashara-spruill-1.html,texas-southern,2023-24
9,9,26,2024-02-26,Texas Southern,@,Arkansas–Pine Bluff,REG (Conf),L 62-81,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Ashara Spruill,https://www.sports-reference.com/cbb/players/ashara-spruill-1.html,texas-southern,2023-24
10,10,29,2024-03-09,Texas Southern,,Prairie View A&M,REG (Conf),W 83-70,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Ashara Spruill,https://www.sports-reference.com/cbb/players/ashara-spruill-1.html,texas-southern,2023-24
