ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2021-11-14,Southern Illinois,@,Kansas City,REG (Non-Conf),L 46-67,,3,0,0,,0,0,,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,2,3.0,Paige Clubb,https://www.sports-reference.com/cbb/players/paige-clubb-1.html,southern-illinois,2021-22
2,2,3,2021-11-30,Southern Illinois,@,Southeast Missouri State,REG (Non-Conf),W 78-61,*,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Paige Clubb,https://www.sports-reference.com/cbb/players/paige-clubb-1.html,southern-illinois,2021-22
3,3,6,2021-12-12,Southern Illinois,,Quincy,REG (Non-Conf),W 70-45,,6,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,1,0,1,2,2.3,Paige Clubb,https://www.sports-reference.com/cbb/players/paige-clubb-1.html,southern-illinois,2021-22
4,4,10,2021-12-23,Southern Illinois,@,Indiana,REG (Non-Conf),L 37-70,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Paige Clubb,https://www.sports-reference.com/cbb/players/paige-clubb-1.html,southern-illinois,2021-22
5,5,20,2022-02-09,Southern Illinois,@,Indiana State,REG (Conf),W 79-55,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Paige Clubb,https://www.sports-reference.com/cbb/players/paige-clubb-1.html,southern-illinois,2021-22
6,6,23,2022-02-18,Southern Illinois,@,Bradley,REG (Conf),W 74-46,,2,1,1,1.000,1,1,1.000,0,0,1.500,0,0,,0,0,0,0,0,0,0,0,3,2.7,Paige Clubb,https://www.sports-reference.com/cbb/players/paige-clubb-1.html,southern-illinois,2021-22
7,7,26,2022-02-26,Southern Illinois,,Evansville,REG (Conf),W 80-66,,2,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,Paige Clubb,https://www.sports-reference.com/cbb/players/paige-clubb-1.html,southern-illinois,2021-22
8,8,27,2022-03-03,Southern Illinois,@,Loyola Chicago,REG (Conf),W 51-28,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Paige Clubb,https://www.sports-reference.com/cbb/players/paige-clubb-1.html,southern-illinois,2021-22
9,9,28,2022-03-05,Southern Illinois,@,Valparaiso,REG (Conf),L 54-67,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Paige Clubb,https://www.sports-reference.com/cbb/players/paige-clubb-1.html,southern-illinois,2021-22
10,10,31,2022-03-16,Southern Illinois,@,Purdue,WNIT,L 60-82,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Paige Clubb,https://www.sports-reference.com/cbb/players/paige-clubb-1.html,southern-illinois,2021-22
