Name,Position,Class Rank,Previous Team,Previous Team Abbrev,New Team,New Team Abbrev,Status,Date
Moriah Murray,SG,Junior,Penn State,PSU,Penn State,PSU,Withdrawn,2025-04-09T14:52:00
Moriah Murray,SG,Junior,Penn State,PSU,,,Entered,2025-03-25T16:25:00
Dominika Paurova,SG,Freshman,Oregon State,ORST,Kentucky Wildcats,UK,Committed,2024-06-05T12:50:00
Mary Ashley Stevenson,SF,Freshman,Purdue,PUR,Stanford Cardinal,STAN,Committed,2024-05-15T13:42:00
Kylie Marshall,SG,Freshman,Texas A&M,TAMU,SMU Mustangs,SMU,Committed,2024-05-15T11:20:00
Tess Heal,SG,Sophomore,Santa Clara University,SC,Stanford Cardinal,STAN,Committed,2024-05-13T10:07:00
Deja Kelly,CG,Senior,North Carolina,UNC,Oregon Ducks,ORE,Committed,2024-05-06T13:19:00
Dazia Lawrence,SG,RedShirt Junior,Charlotte,CHAR,Kentucky Wildcats,UK,Committed,2024-05-05T12:48:00
Taylor Bigby,CG,Junior,USC,USC,TCU Horned Frogs,TCU,Committed,2024-05-05T10:13:00
Grace Townsend,SG,Senior,Richmond,RICH,North Carolina Tar Heels,UNC,Committed,2024-05-05T09:58:00
Sydney Shaw,SG,Sophomore,Auburn,AUB,West Virginia Mountaineers,WVU,Committed,2024-05-05T09:50:00
Riley Nelson,SF,Freshman,Maryland,MD,Duke Blue Devils,DUKE,Committed,2024-05-05T09:34:00
Sydney Harris,CG,Sophomore,TCU,TCU,Iowa State Cyclones,ISU,Committed,2024-05-05T09:16:00
Kenzie Hare,SG,Sophomore,Marquette,MARQ,Iowa State Cyclones,ISU,Committed,2024-05-05T09:12:00
Casey Valenti Paea,SG,RedShirt Junior,California State University-Long Beach,LBS,Virginia Cavaliers,UVA,Committed,2024-05-04T10:45:00
Jordan Obi,PF,Junior,Pennsylvania,PENN,Kentucky Wildcats,UK,Committed,2024-05-02T12:41:00
Samara Spencer,PG,Junior,Arkansas,ARK,Tennessee Volunteers,TENN,Committed,2024-05-01T18:26:00
Gabby Brooks,SG,Freshman,Virginia Tech,VT,Kentucky Wildcats,UK,Committed,2024-05-01T13:04:00
Hailey Van Lith,PG,Senior,LSU,LSU,TCU Horned Frogs,TCU,Committed,2024-05-01T09:30:00
