player_sr_link,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/sienna-durr-1.html,20,FR,G-F,6-0,columbia,2019
https://www.sports-reference.com/cbb/players/janiya-clemmons-1.html,1,JR,G,5-9,columbia,2019
https://www.sports-reference.com/cbb/players/riley-casey-1.html,5,SO,G,5-8,columbia,2019
https://www.sports-reference.com/cbb/players/madison-hardy-1.html,2,FR,G,5-9,columbia,2019
https://www.sports-reference.com/cbb/players/mikayla-markham-1.html,13,FR,G,5-7,columbia,2019
https://www.sports-reference.com/cbb/players/lilian-kennedy-1.html,23,FR,G-F,5-11,columbia,2019
https://www.sports-reference.com/cbb/players/sydney-brown-2.html,11,FR,G-F,6-0,columbia,2019
https://www.sports-reference.com/cbb/players/stephanie-flynn-1.html,25,JR,G-F,5-9,columbia,2019
https://www.sports-reference.com/cbb/players/imani-whittington-1.html,0,SO,G-F,5-11,columbia,2019
https://www.sports-reference.com/cbb/players/madison-pack-1.html,32,SO,F-C,6-3,columbia,2019
https://www.sports-reference.com/cbb/players/andrea-mccormick-1.html,10,SO,G,5-8,columbia,2019
https://www.sports-reference.com/cbb/players/abby-lee-1.html,33,SR,G-F,5-10,columbia,2019
https://www.sports-reference.com/cbb/players/maya-sampleton-1.html,22,JR,G,5-9,columbia,2019
