ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,16,2023-01-07,New Hampshire,@,Vermont,REG (Conf),L 55-72,,12,1,2,.500,0,0,1,2,.500,.500,0,0,0,1,1,0,0,1,2,1,2,-0.4,Lucia Melero,https://www.sports-reference.com/cbb/players/lucia-melero-1.html,new-hampshire,2022-23
2,2,17,2023-01-16,New Hampshire,@,Bryant,REG (Conf),L 44-65,,8,0,1,.000,0,0,0,1,.000,.000,0,0,0,1,1,0,0,0,1,1,0,-1.8,Lucia Melero,https://www.sports-reference.com/cbb/players/lucia-melero-1.html,new-hampshire,2022-23
3,3,18,2023-01-21,New Hampshire,,UMBC,REG (Conf),L 57-62 (OT),,16,2,5,.400,0,0,2,5,.400,.400,0,0,3,0,3,0,0,0,0,0,4,3.4,Lucia Melero,https://www.sports-reference.com/cbb/players/lucia-melero-1.html,new-hampshire,2022-23
4,4,19,2023-01-25,New Hampshire,@,Albany (NY),REG (Conf),L 52-65,,13,0,3,.000,0,0,0,3,.000,.000,0,0,0,1,1,0,0,1,1,2,0,-2.9,Lucia Melero,https://www.sports-reference.com/cbb/players/lucia-melero-1.html,new-hampshire,2022-23
5,5,20,2023-01-28,New Hampshire,@,UMass Lowell,REG (Conf),W 56-51,,11,1,2,.500,0,0,1,2,.500,.500,0,0,2,1,3,0,0,0,1,2,2,0.9,Lucia Melero,https://www.sports-reference.com/cbb/players/lucia-melero-1.html,new-hampshire,2022-23
6,6,21,2023-02-01,New Hampshire,,NJIT,REG (Conf),L 67-70,,8,1,1,1.000,0,0,1,1,1.000,1.000,0,0,1,1,2,0,1,0,0,0,2,3.7,Lucia Melero,https://www.sports-reference.com/cbb/players/lucia-melero-1.html,new-hampshire,2022-23
7,7,22,2023-02-04,New Hampshire,,Bryant,REG (Conf),W 66-47,,19,0,0,,0,0,0,0,,,0,0,1,1,2,0,1,0,1,5,0,-1.0,Lucia Melero,https://www.sports-reference.com/cbb/players/lucia-melero-1.html,new-hampshire,2022-23
8,8,23,2023-02-08,New Hampshire,@,Binghamton,REG (Conf),L 53-75,,19,3,3,1.000,0,0,3,3,1.000,1.000,0,0,1,0,1,1,0,0,0,1,6,6.1,Lucia Melero,https://www.sports-reference.com/cbb/players/lucia-melero-1.html,new-hampshire,2022-23
9,9,24,2023-02-13,New Hampshire,,Maine,REG (Conf),L 45-56,,23,2,2,1.000,0,0,2,2,1.000,1.000,0,0,0,2,2,0,0,1,0,1,4,4.3,Lucia Melero,https://www.sports-reference.com/cbb/players/lucia-melero-1.html,new-hampshire,2022-23
10,10,25,2023-02-15,New Hampshire,,Vermont,REG (Conf),L 36-43,,19,2,4,.500,0,0,2,4,.500,.500,0,0,0,2,2,0,0,0,2,2,4,-0.2,Lucia Melero,https://www.sports-reference.com/cbb/players/lucia-melero-1.html,new-hampshire,2022-23
11,11,26,2023-02-18,New Hampshire,@,UMBC,REG (Conf),L 43-90,,32,3,6,.500,0,0,3,6,.500,.500,0,0,2,4,6,3,0,1,2,4,6,4.8,Lucia Melero,https://www.sports-reference.com/cbb/players/lucia-melero-1.html,new-hampshire,2022-23
12,12,27,2023-02-22,New Hampshire,@,Maine,REG (Conf),L 67-80,,17,1,2,.500,0,0,1,2,.500,.500,0,0,0,2,2,2,0,1,3,3,2,-0.5,Lucia Melero,https://www.sports-reference.com/cbb/players/lucia-melero-1.html,new-hampshire,2022-23
13,13,28,2023-02-25,New Hampshire,,UMass Lowell,REG (Conf),L 49-55,,8,0,2,.000,0,0,0,2,.000,.000,0,0,0,0,0,0,0,0,2,1,0,-3.8,Lucia Melero,https://www.sports-reference.com/cbb/players/lucia-melero-1.html,new-hampshire,2022-23
