ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2021-11-10,Tarleton State,@,Arkansas,REG (Non-Conf),L 33-85,,4,0,0,,0,0,0,0,,,0,0,,0,0,0,0,1,0,1,0,0,0.0,Crystal Smith,https://www.sports-reference.com/cbb/players/crystal-smith-3.html,tarleton-state,2021-22
2,2,2,2021-11-13,Tarleton State,,Champion Christian,REG (Non-Conf),W 82-66,,6,0,2,.000,0,0,0,2,.000,.000,0,0,,0,1,1,2,1,0,1,1,0,-0.1,Crystal Smith,https://www.sports-reference.com/cbb/players/crystal-smith-3.html,tarleton-state,2021-22
3,3,3,2021-11-16,Tarleton State,,Paul Quinn,REG (Non-Conf),W 70-46,,7,0,1,.000,0,0,0,1,.000,.000,3,6,.500,0,1,1,0,0,1,1,0,3,1.1,Crystal Smith,https://www.sports-reference.com/cbb/players/crystal-smith-3.html,tarleton-state,2021-22
4,4,4,2021-11-20,Tarleton State,,Howard Payne,REG (Non-Conf),W 87-44,,10,1,2,.500,0,0,1,2,.500,.500,0,0,,0,1,1,2,3,0,2,2,2,2.9,Crystal Smith,https://www.sports-reference.com/cbb/players/crystal-smith-3.html,tarleton-state,2021-22
5,5,7,2021-12-04,Tarleton State,,Arl Baptist,REG (Non-Conf),W 103-22,,19,3,5,.600,0,0,3,5,.600,.600,0,1,.000,0,3,3,4,3,0,1,1,6,8.6,Crystal Smith,https://www.sports-reference.com/cbb/players/crystal-smith-3.html,tarleton-state,2021-22
6,6,18,2022-01-20,Tarleton State,@,California Baptist,REG (Conf),L 69-85,,1,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Crystal Smith,https://www.sports-reference.com/cbb/players/crystal-smith-3.html,tarleton-state,2021-22
7,7,28,2022-03-02,Tarleton State,,Sam Houston State,REG (Conf),W 83-63,,1,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Crystal Smith,https://www.sports-reference.com/cbb/players/crystal-smith-3.html,tarleton-state,2021-22
