ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,18,1,2023-11-06,Fairfield,,Lehman,REG (Non-Conf),W 101-14,,24,2,7,.286,2,7,.286,0,0,.429,0,0,,0,0,0,0,1,0,0,1,6,2.5,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
2,19,2,2023-11-10,Fairfield,@,Lipscomb,REG (Non-Conf),W 89-66,,4,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
3,20,4,2023-11-20,Fairfield,@,Rutgers,REG (Non-Conf),W 78-54,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
4,21,5,2023-11-26,Fairfield,@,Central Connecticut State,REG (Non-Conf),W 78-52,,7,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
5,22,9,2023-12-16,Fairfield,,Mount St. Mary's,REG (Conf),W 62-44,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
6,23,10,2023-12-18,Fairfield,,Manhattan,REG (Conf),W 82-58,,3,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
7,24,11,2023-12-30,Fairfield,@,Stonehill,REG (Non-Conf),W 72-49,,5,0,0,,0,0,,0,0,,3,3,1.000,0,0,0,0,0,0,0,1,3,2.6,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
8,25,14,2024-01-11,Fairfield,,Iona,REG (Conf),W 72-44,,8,1,2,.500,1,2,.500,0,0,.750,0,0,,0,0,0,0,0,0,0,0,3,2.0,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
9,26,20,2024-02-03,Fairfield,@,Iona,REG (Conf),W 85-49,,15,1,4,.250,1,4,.250,0,0,.375,6,6,1.000,0,0,0,0,0,0,0,1,9,6.2,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
10,27,21,2024-02-08,Fairfield,,Marist,REG (Conf),W 76-49,,7,1,2,.500,1,2,.500,0,0,.750,0,0,,0,0,0,0,0,0,0,0,3,2.0,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
11,28,26,2024-02-29,Fairfield,,Quinnipiac,REG (Conf),W 64-46,,4,0,1,.000,0,1,.000,0,0,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
12,29,27,2024-03-02,Fairfield,@,Manhattan,REG (Conf),W 77-53,,5,0,1,.000,0,1,.000,0,0,.000,2,3,.667,0,0,0,0,0,0,2,1,2,-1.5,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
13,30,28,2024-03-07,Fairfield,@,Saint Peter's,REG (Conf),W 63-46,,3,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
14,31,29,2024-03-09,Fairfield,,Rider,REG (Conf),W 83-54,,10,1,3,.333,1,3,.333,0,0,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
15,32,31,2024-03-15,Fairfield,N,Canisius,CTOURN,W 77-64,,1,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Kate Peek,https://www.sports-reference.com/cbb/players/kate-peek-1.html,fairfield,2023-24
