ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2021-11-13,Louisiana–Monroe,@,Southern Mississippi,REG (Non-Conf),L 60-77,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Qua Chambers,https://www.sports-reference.com/cbb/players/qua-chambers-1.html,louisiana-monroe,2021-22
2,2,3,2021-11-16,Louisiana–Monroe,,La. Christian,REG (Non-Conf),W 71-58,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,Qua Chambers,https://www.sports-reference.com/cbb/players/qua-chambers-1.html,louisiana-monroe,2021-22
3,3,4,2021-11-20,Louisiana–Monroe,@,Central Arkansas,REG (Non-Conf),L 41-62,,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,Qua Chambers,https://www.sports-reference.com/cbb/players/qua-chambers-1.html,louisiana-monroe,2021-22
4,4,5,2021-11-22,Louisiana–Monroe,,Centenary (LA),REG (Non-Conf),W 70-36,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Qua Chambers,https://www.sports-reference.com/cbb/players/qua-chambers-1.html,louisiana-monroe,2021-22
5,5,6,2021-11-26,Louisiana–Monroe,@,Stetson,REG (Non-Conf),L 37-70,,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1.0,Qua Chambers,https://www.sports-reference.com/cbb/players/qua-chambers-1.html,louisiana-monroe,2021-22
6,6,9,2021-12-02,Louisiana–Monroe,,Louisiana Tech,REG (Non-Conf),L 48-64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Qua Chambers,https://www.sports-reference.com/cbb/players/qua-chambers-1.html,louisiana-monroe,2021-22
7,7,10,2021-12-04,Louisiana–Monroe,,Alcorn State,REG (Non-Conf),W 74-60,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Qua Chambers,https://www.sports-reference.com/cbb/players/qua-chambers-1.html,louisiana-monroe,2021-22
8,8,13,2021-12-18,Louisiana–Monroe,,McNeese State,REG (Non-Conf),L 54-81,,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0.9,Qua Chambers,https://www.sports-reference.com/cbb/players/qua-chambers-1.html,louisiana-monroe,2021-22
9,9,14,2021-12-20,Louisiana–Monroe,,Mississippi Valley State,REG (Non-Conf),L 72-73 (OT),,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,Qua Chambers,https://www.sports-reference.com/cbb/players/qua-chambers-1.html,louisiana-monroe,2021-22
10,10,18,2022-01-13,Louisiana–Monroe,,South Alabama,REG (Conf),L 54-69,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Qua Chambers,https://www.sports-reference.com/cbb/players/qua-chambers-1.html,louisiana-monroe,2021-22
11,11,24,2022-02-10,Louisiana–Monroe,@,UT Arlington,REG (Conf),L 50-77,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Qua Chambers,https://www.sports-reference.com/cbb/players/qua-chambers-1.html,louisiana-monroe,2021-22
