ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,17,6,2022-11-25,Sacred Heart,N,Butler,REG (Non-Conf),L 39-64,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Savannah Marshall,https://www.sports-reference.com/cbb/players/savannah-marshall-1.html,sacred-heart,2022-23
2,18,16,2023-01-14,Sacred Heart,,St. Francis Brooklyn,REG (Conf),W 76-60,,8,0,2,.000,0,2,.000,0,0,.000,0,0,1,0,1,1,0,0,1,1,0,-1.4,Savannah Marshall,https://www.sports-reference.com/cbb/players/savannah-marshall-1.html,sacred-heart,2022-23
3,19,17,2023-01-16,Sacred Heart,@,Saint Francis (PA),REG (Conf),W 73-60,,3,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Savannah Marshall,https://www.sports-reference.com/cbb/players/savannah-marshall-1.html,sacred-heart,2022-23
4,20,24,2023-02-09,Sacred Heart,,Saint Francis (PA),REG (Conf),W 68-34,,11,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,0,1,1,0,-0.1,Savannah Marshall,https://www.sports-reference.com/cbb/players/savannah-marshall-1.html,sacred-heart,2022-23
5,21,25,2023-02-16,Sacred Heart,@,Fairleigh Dickinson,REG (Conf),W 70-67,,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Savannah Marshall,https://www.sports-reference.com/cbb/players/savannah-marshall-1.html,sacred-heart,2022-23
6,22,26,2023-02-18,Sacred Heart,@,Merrimack,REG (Conf),L 66-73,,13,1,1,1.000,1,1,1.000,0,0,1.500,0,0,0,2,2,0,1,0,1,0,3,3.3,Savannah Marshall,https://www.sports-reference.com/cbb/players/savannah-marshall-1.html,sacred-heart,2022-23
7,23,27,2023-02-23,Sacred Heart,@,St. Francis Brooklyn,REG (Conf),L 55-58,,3,0,1,.000,0,1,.000,0,0,.000,0,0,1,0,1,1,2,0,0,1,0,2.3,Savannah Marshall,https://www.sports-reference.com/cbb/players/savannah-marshall-1.html,sacred-heart,2022-23
8,24,28,2023-02-25,Sacred Heart,,Central Connecticut State,REG (Conf),W 56-45,,12,1,3,.333,1,3,.333,0,0,.500,0,0,0,3,3,0,0,0,2,0,3,0.2,Savannah Marshall,https://www.sports-reference.com/cbb/players/savannah-marshall-1.html,sacred-heart,2022-23
9,25,29,2023-03-02,Sacred Heart,,Wagner,REG (Conf),W 66-58,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Savannah Marshall,https://www.sports-reference.com/cbb/players/savannah-marshall-1.html,sacred-heart,2022-23
10,26,30,2023-03-06,Sacred Heart,,LIU,CTOURN,W 63-44,,7,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,1,0,0,0.7,Savannah Marshall,https://www.sports-reference.com/cbb/players/savannah-marshall-1.html,sacred-heart,2022-23
11,27,32,2023-03-12,Sacred Heart,@,Fairleigh Dickinson,CTOURN,W 72-60,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Savannah Marshall,https://www.sports-reference.com/cbb/players/savannah-marshall-1.html,sacred-heart,2022-23
12,28,34,2023-03-17,Sacred Heart,@,Stanford,ROUND-64,L 49-92,,7,0,1,.000,0,1,.000,0,0,.000,0,0,0,1,1,0,0,0,0,0,0,-0.4,Savannah Marshall,https://www.sports-reference.com/cbb/players/savannah-marshall-1.html,sacred-heart,2022-23
