ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2022-11-07,UT Arlington,,Texas Southern,REG (Non-Conf),W 102-53,,12,0,2,.000,0,0,0,2,.000,.000,0,0,0,1,1,1,0,2,0,0,0,1.0,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
2,2,3,2022-11-16,UT Arlington,@,Kansas,REG (Non-Conf),L 74-79,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
3,3,7,2022-11-29,UT Arlington,,North Texas,REG (Non-Conf),W 76-58,,6,1,2,.500,0,0,1,2,.500,.500,0,0,1,0,1,0,0,0,1,2,2,-0.1,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
4,4,10,2022-12-07,UT Arlington,@,Baylor,REG (Non-Conf),L 36-91,,3,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,0,1,0,0,-0.7,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
5,5,13,2022-12-29,UT Arlington,@,California Baptist,REG (Conf),L 61-67,,3,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
6,6,14,2022-12-31,UT Arlington,,Tarleton State,REG (Conf),W 92-68,,3,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
7,7,16,2023-01-07,UT Arlington,@,Abilene Christian,REG (Conf),L 72-92,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
8,8,18,2023-01-14,UT Arlington,@,Tarleton State,REG (Conf),W 76-70,,2,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
9,9,21,2023-01-26,UT Arlington,,California Baptist,REG (Conf),L 65-83,,4,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
10,10,22,2023-02-04,UT Arlington,,Utah Tech,REG (Conf),L 70-87,,8,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
11,11,23,2023-02-06,UT Arlington,,Southern Utah,REG (Conf),W 60-58,,2,0,0,,0,0,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0.7,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
12,12,24,2023-02-09,UT Arlington,@,Utah Valley,REG (Conf),L 53-64,,10,0,0,,0,0,0,0,,,0,0,2,1,3,0,1,0,1,0,0,1.7,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
13,13,25,2023-02-11,UT Arlington,@,Seattle,REG (Conf),W 75-49,,15,0,2,.000,0,0,0,2,.000,.000,0,0,3,1,4,0,1,0,0,1,0,1.6,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
14,14,26,2023-02-16,UT Arlington,,Sam Houston State,REG (Conf),W 106-102 (2OT),,3,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,-1.4,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
15,15,28,2023-02-23,UT Arlington,@,New Mexico State,REG (Conf),L 60-69,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Bella Ringenberg,https://www.sports-reference.com/cbb/players/bella-ringenberg-1.html,texas-arlington,2022-23
