ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,57,5,2024-11-17,Arizona State,,Oregon State,REG (Non-Conf),W 79-60,,4,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,2,0,0,-2.7,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,arizona-state,2024-25
2,58,14,2025-01-01,Arizona State,,Texas Tech,REG (Conf),W 79-61,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,arizona-state,2024-25
3,59,18,2025-01-16,Arizona State,@,Kansas,REG (Conf),L 52-75,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,arizona-state,2024-25
4,60,20,2025-01-22,Arizona State,,West Virginia,REG (Conf),L 59-89,,3,1,1,1.000,1,1,1.000,0,0,1.500,0,0,0,0,0,1,0,0,0,0,3,3.4,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,arizona-state,2024-25
5,61,22,2025-01-29,Arizona State,@,Oklahoma State,REG (Conf),L 71-83,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,arizona-state,2024-25
6,62,26,2025-02-15,Arizona State,,Utah,REG (Conf),L 62-98,,5,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,1,0,0,0,1,0,-0.4,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,arizona-state,2024-25
7,63,27,2025-02-19,Arizona State,,TCU,REG (Conf),L 66-82,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,arizona-state,2024-25
8,64,28,2025-02-22,Arizona State,@,Brigham Young,REG (Conf),W 85-73 (OT),,10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,arizona-state,2024-25
9,65,29,2025-02-26,Arizona State,@,Colorado,REG (Conf),L 54-89,,13,2,2,1.000,2,2,1.000,0,0,1.500,0,0,0,1,1,1,0,0,0,0,6,6.4,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,arizona-state,2024-25
10,66,30,2025-03-01,Arizona State,,Arizona,REG (Conf),L 59-71,,11,1,1,1.000,1,1,1.000,0,0,1.500,0,0,0,0,0,0,0,0,0,0,3,2.7,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,arizona-state,2024-25
11,67,31,2025-03-05,Arizona State,N,Cincinnati,CTOURN,W 82-75,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,arizona-state,2024-25
12,68,32,2025-03-06,Arizona State,N,Iowa State,CTOURN,L 88-96,,7,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,2,0,0,0,0,0,0.7,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,arizona-state,2024-25
