ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,10,3,2023-11-15,Illinois,,Saint Peter's,REG (Non-Conf),W 103-33,,7,1,1,1.000,0,0,1,1,1.000,1.000,0,0,0,0,0,0,0,0,0,0,2,1.7,Camille Jackson,https://www.sports-reference.com/cbb/players/camille-jackson-1.html,illinois,2023-24
2,11,7,2023-12-06,Illinois,,Northern Kentucky,REG (Non-Conf),W 74-52,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Camille Jackson,https://www.sports-reference.com/cbb/players/camille-jackson-1.html,illinois,2023-24
3,12,15,2024-01-14,Illinois,@,Northwestern,REG (Conf),W 93-52,,3,0,1,.000,0,0,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Camille Jackson,https://www.sports-reference.com/cbb/players/camille-jackson-1.html,illinois,2023-24
