ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,5,2024-11-23,Saint Peter's,@,FDU,REG (Non-Conf),L 50-67,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Iyanna Cotten,https://www.sports-reference.com/cbb/players/iyanna-cotten-1.html,saint-peters,2024-25
2,2,8,2024-12-08,Saint Peter's,@,Pittsburgh,REG (Non-Conf),L 51-59,,0,0,1,.000,0,0,,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Iyanna Cotten,https://www.sports-reference.com/cbb/players/iyanna-cotten-1.html,saint-peters,2024-25
3,3,10,2024-12-19,Saint Peter's,@,Manhattan,REG (Conf),W 62-49,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Iyanna Cotten,https://www.sports-reference.com/cbb/players/iyanna-cotten-1.html,saint-peters,2024-25
4,4,11,2024-12-21,Saint Peter's,,Iona,REG (Conf),L 50-56,,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Iyanna Cotten,https://www.sports-reference.com/cbb/players/iyanna-cotten-1.html,saint-peters,2024-25
5,5,12,2025-01-02,Saint Peter's,@,Quinnipiac,REG (Conf),L 39-54,,4,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,1,0,0,0,0,0,0.0,Iyanna Cotten,https://www.sports-reference.com/cbb/players/iyanna-cotten-1.html,saint-peters,2024-25
6,6,13,2025-01-09,Saint Peter's,,Niagara,REG (Conf),W 80-50,,4,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,0,0,0,0,0,0,0,2,4,2.6,Iyanna Cotten,https://www.sports-reference.com/cbb/players/iyanna-cotten-1.html,saint-peters,2024-25
7,7,15,2025-01-16,Saint Peter's,@,Marist,REG (Conf),L 30-50,,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,0,0,0,0,0,0,0,0,2,1.7,Iyanna Cotten,https://www.sports-reference.com/cbb/players/iyanna-cotten-1.html,saint-peters,2024-25
8,8,17,2025-01-23,Saint Peter's,@,Merrimack,REG (Conf),L 49-64,,1,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,0,0,0,0,0,0,0,0,2,1.7,Iyanna Cotten,https://www.sports-reference.com/cbb/players/iyanna-cotten-1.html,saint-peters,2024-25
9,9,18,2025-01-30,Saint Peter's,,Rider,REG (Conf),L 52-57,,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Iyanna Cotten,https://www.sports-reference.com/cbb/players/iyanna-cotten-1.html,saint-peters,2024-25
10,10,19,2025-02-01,Saint Peter's,@,Mount St. Mary's,REG (Conf),L 59-79,,2,0,1,.000,0,0,,0,1,.000,.000,0,0,0,0,0,0,0,0,1,2,0,-2.5,Iyanna Cotten,https://www.sports-reference.com/cbb/players/iyanna-cotten-1.html,saint-peters,2024-25
11,11,22,2025-02-13,Saint Peter's,@,Fairfield,REG (Conf),L 43-73,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Iyanna Cotten,https://www.sports-reference.com/cbb/players/iyanna-cotten-1.html,saint-peters,2024-25
12,12,24,2025-02-20,Saint Peter's,,Mount St. Mary's,REG (Conf),W 70-54,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Iyanna Cotten,https://www.sports-reference.com/cbb/players/iyanna-cotten-1.html,saint-peters,2024-25
13,13,28,2025-03-06,Saint Peter's,@,Niagara,REG (Conf),W 70-58,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Iyanna Cotten,https://www.sports-reference.com/cbb/players/iyanna-cotten-1.html,saint-peters,2024-25
