ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2024-11-06,UC Santa Barbara,,Claremont-M-S,REG (Non-Conf),W 70-26,,1,0,2,.000,0,2,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,Malani Mastora,https://www.sports-reference.com/cbb/players/malani-mastora-1.html,california-santa-barbara,2024-25
2,2,5,2024-11-21,UC Santa Barbara,,Cal Lutheran,REG (Non-Conf),W 96-60,,2,0,1,.000,0,1,.000,0,0,.000,0,0,0,1,1,0,0,0,0,0,0,-0.4,Malani Mastora,https://www.sports-reference.com/cbb/players/malani-mastora-1.html,california-santa-barbara,2024-25
3,3,29,2025-03-01,UC Santa Barbara,,Cal State Northridge,REG (Conf),W 74-52,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Malani Mastora,https://www.sports-reference.com/cbb/players/malani-mastora-1.html,california-santa-barbara,2024-25
