ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,13,1,2022-11-07,Binghamton,,Bloomsburg,REG (Non-Conf),W 63-46,,9,1,3,.333,0,0,1,3,.333,.333,0,0,2,0,2,0,0,0,1,0,2,0.7,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
2,14,2,2022-11-10,Binghamton,,Army,REG (Non-Conf),W 76-61,,3,0,1,.000,0,0,0,1,.000,.000,0,0,0,1,1,0,0,0,1,0,0,-1.4,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
3,15,3,2022-11-14,Binghamton,@,Syracuse,REG (Non-Conf),L 59-92,,7,0,3,.000,0,0,0,3,.000,.000,0,0,1,0,1,0,2,0,0,0,0,0.6,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
4,16,4,2022-11-16,Binghamton,,Pitt.-Johnstown,REG (Non-Conf),W 71-45,,5,2,2,1.000,0,0,2,2,1.000,1.000,0,0,1,1,2,0,0,1,1,1,4,3.7,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
5,17,5,2022-11-20,Binghamton,@,Canisius,REG (Non-Conf),W 75-72,,7,1,2,.500,0,0,1,2,.500,.500,0,0,0,1,1,0,0,0,0,0,2,1.3,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
6,18,6,2022-11-25,Binghamton,@,Florida Atlantic,REG (Non-Conf),L 41-51,,7,1,1,1.000,0,0,1,1,1.000,1.000,0,0,0,0,0,0,0,0,0,1,2,1.3,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
7,19,7,2022-11-26,Binghamton,N,Butler,REG (Non-Conf),L 51-78,,10,1,3,.333,0,0,1,3,.333,.333,0,0,1,1,2,2,0,0,0,1,2,2.3,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
8,20,9,2022-12-03,Binghamton,,Fairfield,REG (Non-Conf),W 77-72,,9,0,0,,0,0,0,0,,,0,0,0,2,2,0,0,0,1,4,0,-2.0,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
9,21,10,2022-12-05,Binghamton,@,Siena,REG (Non-Conf),L 50-54,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
10,22,16,2023-01-04,Binghamton,@,New Hampshire,REG (Conf),W 59-45,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,1,0,1,0,0,0.0,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
11,23,17,2023-01-11,Binghamton,,NJIT,REG (Conf),L 57-62,,8,4,4,1.000,0,0,4,4,1.000,1.000,0,0,0,2,2,1,0,0,0,0,8,8.1,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
12,24,18,2023-01-14,Binghamton,@,UMass Lowell,REG (Conf),W 77-68,,1,0,1,.000,0,0,0,1,.000,.000,0,0,1,0,1,0,0,0,0,0,0,0.0,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
13,25,19,2023-01-18,Binghamton,,Albany (NY),REG (Conf),L 60-64,,1,0,0,,0,0,0,0,,,0,0,1,0,1,0,1,0,0,1,0,1.3,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
14,26,20,2023-01-21,Binghamton,,Maine,REG (Conf),L 46-50,,2,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Elena Delicado,https://www.sports-reference.com/cbb/players/elena-delicado-1.html,binghamton,2022-23
