ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,29,1,2023-11-06,Winthrop,@,Clemson,REG (Non-Conf),L 41-71,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
2,30,2,2023-11-10,Winthrop,@,Alabama,REG (Non-Conf),L 50-79,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
3,31,3,2023-11-14,Winthrop,,Erskine,REG (Non-Conf),W 84-43,,7,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,1,1,2,0,1,0,1,1,4,4.0,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
4,32,4,2023-11-18,Winthrop,@,South Carolina State,REG (Non-Conf),W 54-45,,1,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
5,33,6,2023-11-24,Winthrop,N,Texas A&M,REG (Non-Conf),L 32-84,,14,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,0,0,0,0,0,0,1,0,4,1.7,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
6,34,8,2023-11-29,Winthrop,,UNC Wilmington,REG (Non-Conf),L 58-66 (OT),,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
7,35,9,2023-12-03,Winthrop,,Queens (NC),REG (Non-Conf),L 61-64,,5,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
8,36,10,2023-12-10,Winthrop,,Carolina,REG (Non-Conf),W 77-52,,5,0,1,.000,0,0,,0,1,.000,.000,0,0,1,0,1,0,0,0,0,1,0,-0.4,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
9,37,11,2023-12-14,Winthrop,,Georgia State,REG (Non-Conf),W 65-60,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
10,38,13,2023-12-30,Winthrop,@,Florida,REG (Non-Conf),L 36-73,,11,0,1,.000,0,0,,0,1,.000,.000,0,0,0,1,1,0,1,0,1,1,0,-0.8,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
11,39,16,2024-01-10,Winthrop,,Presbyterian,REG (Conf),L 43-59,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
12,40,23,2024-02-07,Winthrop,@,Charleston Southern,REG (Conf),L 50-65,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
13,41,26,2024-02-21,Winthrop,@,Presbyterian,REG (Conf),L 40-62,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
14,42,28,2024-02-28,Winthrop,,High Point,REG (Conf),L 64-65 (OT),*,3,0,0,,0,0,,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
15,43,29,2024-03-02,Winthrop,@,Gardner-Webb,REG (Conf),W 72-54,,3,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,0,0,0,0,0,0,0,0,3,2.7,Frances Brown,https://www.sports-reference.com/cbb/players/frances-brown-1.html,winthrop,2023-24
