ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2021-11-14,Saint Francis (PA),@,Kent State,REG (Non-Conf),L 45-71,,2,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,0,0,0,0,1,0,0,0,3,3.7,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,saint-francis-pa,2021-22
2,2,3,2021-11-16,Saint Francis (PA),@,West Virginia,REG (Non-Conf),L 33-86,,2,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,0,0,0,0,0,0,0,0,3,2.7,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,saint-francis-pa,2021-22
3,3,5,2021-11-28,Saint Francis (PA),@,Coppin State,REG (Non-Conf),L 38-68,,2,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,1,0,1,1,0,0,0,0,2,2.4,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,saint-francis-pa,2021-22
4,4,6,2021-12-01,Saint Francis (PA),@,Bucknell,REG (Non-Conf),L 31-68,,2,0,0,,0,0,,0,0,,,0,0,0,1,1,0,0,0,1,0,0,-0.7,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,saint-francis-pa,2021-22
5,5,20,2022-01-27,Saint Francis (PA),,Wagner,REG (Conf),L 39-63,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,saint-francis-pa,2021-22
6,6,22,2022-02-03,Saint Francis (PA),@,Bryant,REG (Conf),L 36-58,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,saint-francis-pa,2021-22
7,7,24,2022-02-11,Saint Francis (PA),,Fairleigh Dickinson,REG (Conf),W 70-56,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Adison Novosel,https://www.sports-reference.com/cbb/players/adison-novosel-1.html,saint-francis-pa,2021-22
