ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2023-11-06,Alabama A&M,@,UAB,REG (Non-Conf),L 63-70,,16,1,2,.500,1,2,.500,0,0,.750,1,2,.500,0,2,2,1,1,1,2,1,4,3.2,Kalyn Ervin,https://www.sports-reference.com/cbb/players/kalyn-ervin-1.html,alabama-am,2023-24
2,2,2,2023-11-09,Alabama A&M,@,Colorado State,REG (Non-Conf),L 39-83,*,21,0,5,.000,0,5,.000,0,0,.000,0,0,,0,1,1,0,0,0,1,2,0,-5.0,Kalyn Ervin,https://www.sports-reference.com/cbb/players/kalyn-ervin-1.html,alabama-am,2023-24
