Name,Position,Class Rank,Previous Team,Previous Team Abbrev,New Team,New Team Abbrev,Status,Date
Kayleigh Heckel,PG,Freshman,USC,USC,Connecticut Huskies,CONN,Committed,2025-05-20T20:01:00
Iyana Moore,CG,Senior,Vanderbilt,VAN,Notre Dame Fighting Irish,ND,Committed,2025-05-19T09:31:00
MiLaysia Fulwiley,PG,Sophomore,South Carolina,SC,LSU Tigers,LSU,Committed,2025-04-25T14:27:00
Imani Lester,SF,Junior,Kansas State,KSST,Rutgers Scarlet Knights,RU,Committed,2025-04-24T11:22:00
Jersey Wolfenbarger,SF,Senior,LSU,LSU,Tennessee Volunteers,TENN,Committed,2025-04-23T17:26:00
Chazadi Wright,PG,Freshman,Georgia Tech,GTECH,Iowa Hawkeyes,IOWA,Committed,2025-04-23T09:49:00
Jade Weathersby,PF,Sophomore,UAB,UAB,Florida Gators,UF,Committed,2025-04-23T06:30:00
Mjracle Sheppard,SG,Sophomore,LSU,LSU,,,Entered,2025-04-22T10:52:00
Jordana Codio,CG,Junior,Texas,TEX,Seton Hall Pirates,SETON,Committed,2025-04-22T10:00:00
Madina Okot,C,Junior,Mississippi State,MSST,South Carolina Gamecocks,SC,Committed,2025-04-21T19:06:00
Lauryn Swann,PG,Freshman,Arizona,ARIZ,Rutgers Scarlet Knights,RU,Committed,2025-04-21T16:09:00
Claire Johnson,SG,Freshman,Samford,SAM,,,Entered,2025-04-21T12:44:00
Janiah Barker,PF,Junior,UCLA,UCLA,Tennessee Volunteers,TENN,Committed,2025-04-21T11:04:00
Aalyah Del Rosario,C,Sophomore,LSU,LSU,Vanderbilt Commodores,VAN,Committed,2025-04-21T11:01:00
Nene Ndiaye,SF,Sophomore,Boston College,BC,Rutgers Scarlet Knights,RU,Committed,2025-04-21T11:00:00
Last-Tear Poa,SG,Senior,LSU,LSU,Arizona State Sun Devils,ASU,Committed,2025-04-20T12:56:00
Kiyomi McMiller,PG,Freshman,Rutgers,RU,Penn State Nittany Lions,PSU,Committed,2025-04-19T11:03:00
Jzaniya Harriel,CG,Senior,Stanford,STAN,SMU Mustangs,SMU,Committed,2025-04-18T15:58:00
Amani Bartlett,PF,Senior,LSU,LSU,,,Entered,2025-04-16T10:53:00
Debreasha Powe,CG,Junior,Mississippi State,MSST,Ole Miss Rebels,MISS,Committed,2025-04-15T15:49:00
Tonie Morgan,PG,Junior,Georgia Tech,GTECH,Kentucky Wildcats,UK,Committed,2025-04-15T15:28:00
Amiya Joyner,PF,Junior,East Carolina,ECU,LSU Tigers,LSU,Committed,2025-04-15T11:52:00
MiLaysia Fulwiley,PG,Sophomore,South Carolina,SC,,,Entered,2025-04-14T13:51:00
