ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,12,2023-12-30,La Salle,@,George Mason,REG (Conf),L 37-74,,2,0,0,0,0,0,0,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,Ashley Hopper,https://www.sports-reference.com/cbb/players/ashley-hopper-1.html,la-salle,2023-24
2,2,22,2024-02-08,La Salle,,Loyola Chicago,REG (Conf),L 39-73,,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Ashley Hopper,https://www.sports-reference.com/cbb/players/ashley-hopper-1.html,la-salle,2023-24
3,3,27,2024-02-24,La Salle,,VCU,REG (Conf),L 50-75,*,2,0,0,0,0,0,0,1,2,.500,0,0,0,0,0,0,1,1,1,-0.8,Ashley Hopper,https://www.sports-reference.com/cbb/players/ashley-hopper-1.html,la-salle,2023-24
