ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,31,1,2024-11-04,UC San Diego,,Occidental,REG (Non-Conf),W 86-51,,5,0,0,,0,0,,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0.7,Grace Talbot,https://www.sports-reference.com/cbb/players/grace-talbot-1.html,california-san-diego,2024-25
2,32,7,2024-11-24,UC San Diego,@,Denver,REG (Non-Conf),L 59-67 (OT),,8,0,2,.000,0,1,.000,0,1,.000,.000,0,0,0,2,2,0,0,0,1,1,0,-2.2,Grace Talbot,https://www.sports-reference.com/cbb/players/grace-talbot-1.html,california-san-diego,2024-25
3,33,8,2024-11-29,UC San Diego,@,Stanford,REG (Non-Conf),L 54-84,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Grace Talbot,https://www.sports-reference.com/cbb/players/grace-talbot-1.html,california-san-diego,2024-25
4,34,10,2024-12-07,UC San Diego,@,Cal State Bakersfield,REG (Conf),W 55-40,,13,0,1,.000,0,1,.000,0,0,,.000,0,0,1,1,2,0,1,0,0,0,0,1.3,Grace Talbot,https://www.sports-reference.com/cbb/players/grace-talbot-1.html,california-san-diego,2024-25
5,35,11,2024-12-14,UC San Diego,@,California Baptist,REG (Non-Conf),W 81-58,,7,0,0,,0,0,,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0.7,Grace Talbot,https://www.sports-reference.com/cbb/players/grace-talbot-1.html,california-san-diego,2024-25
6,36,12,2024-12-19,UC San Diego,,Northern Kentucky,REG (Non-Conf),L 50-58,,3,0,0,,0,0,,0,0,,,0,0,0,1,1,1,0,0,0,0,0,1.0,Grace Talbot,https://www.sports-reference.com/cbb/players/grace-talbot-1.html,california-san-diego,2024-25
7,37,13,2024-12-21,UC San Diego,,La Salle,REG (Non-Conf),W 69-53,,7,0,1,.000,0,0,,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Grace Talbot,https://www.sports-reference.com/cbb/players/grace-talbot-1.html,california-san-diego,2024-25
8,38,16,2025-01-09,UC San Diego,@,Cal Poly,REG (Conf),L 56-61,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Grace Talbot,https://www.sports-reference.com/cbb/players/grace-talbot-1.html,california-san-diego,2024-25
9,39,21,2025-01-25,UC San Diego,@,Cal State Northridge,REG (Conf),W 82-44,,10,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,1,1,0,0,0,0,1.0,Grace Talbot,https://www.sports-reference.com/cbb/players/grace-talbot-1.html,california-san-diego,2024-25
10,40,25,2025-02-13,UC San Diego,,Cal State Bakersfield,REG (Conf),W 63-45,,3,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,1,0,0,-1.7,Grace Talbot,https://www.sports-reference.com/cbb/players/grace-talbot-1.html,california-san-diego,2024-25
11,41,26,2025-02-15,UC San Diego,@,UC Davis,REG (Conf),W 65-63,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Grace Talbot,https://www.sports-reference.com/cbb/players/grace-talbot-1.html,california-san-diego,2024-25
12,42,27,2025-02-20,UC San Diego,,Cal Poly,REG (Conf),W 66-49,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Grace Talbot,https://www.sports-reference.com/cbb/players/grace-talbot-1.html,california-san-diego,2024-25
13,43,30,2025-03-01,UC San Diego,@,Cal State Fullerton,REG (Conf),W 69-46,,2,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,0,0,0,0,0,0,0,1,3,2.3,Grace Talbot,https://www.sports-reference.com/cbb/players/grace-talbot-1.html,california-san-diego,2024-25
