ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,54,1,2022-11-07,Bucknell,@,Saint Joseph's,REG (Non-Conf),L 49-66,*,32,3,7,.429,0,0,3,7,.429,.429,5,6,.833,3,5,8,1,1,0,4,4,11,6.6,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
2,55,2,2022-11-11,Bucknell,@,Virginia Tech,REG (Non-Conf),L 41-67,*,21,2,6,.333,0,0,2,6,.333,.333,0,0,,2,3,5,0,0,1,6,5,4,-4.4,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
3,56,3,2022-11-16,Bucknell,,Fairleigh Dickinson,REG (Non-Conf),L 49-62,*,28,8,13,.615,0,0,8,13,.615,.615,3,3,1.000,5,4,9,0,0,0,2,2,19,15.0,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
4,57,4,2022-11-19,Bucknell,@,Cornell,REG (Non-Conf),W 65-58 (OT),*,38,2,3,.667,0,0,2,3,.667,.667,1,4,.250,2,7,9,2,0,3,0,4,5,7.9,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
5,58,5,2022-11-22,Bucknell,,Iona,REG (Non-Conf),W 55-52,*,33,6,13,.462,0,0,6,13,.462,.462,1,2,.500,3,5,8,2,1,1,1,1,13,11.2,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
6,59,6,2022-11-25,Bucknell,@,Syracuse,REG (Non-Conf),L 48-65,*,19,0,5,.000,0,0,0,5,.000,.000,0,0,,1,3,4,2,1,0,1,1,0,-0.9,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
7,60,7,2022-11-27,Bucknell,,Temple,REG (Non-Conf),L 62-77,*,30,2,6,.333,0,0,2,6,.333,.333,3,7,.429,1,3,4,6,0,2,0,2,7,8.4,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
8,61,8,2022-11-30,Bucknell,,St. Bonaventure,REG (Non-Conf),W 59-44,*,26,4,13,.308,0,0,4,13,.308,.308,5,7,.714,4,4,8,0,0,2,2,2,13,7.3,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
9,62,9,2022-12-03,Bucknell,,Stony Brook,REG (Non-Conf),W 64-58,*,26,5,7,.714,0,0,5,7,.714,.714,4,9,.444,4,3,7,2,1,2,3,2,14,12.8,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
10,63,10,2022-12-06,Bucknell,@,Pennsylvania,REG (Non-Conf),L 62-68 (OT),*,37,5,17,.294,0,0,5,17,.294,.294,5,8,.625,4,7,11,2,1,0,3,3,15,7.0,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
11,64,11,2022-12-20,Bucknell,@,Buffalo,REG (Non-Conf),L 51-58,*,29,4,6,.667,0,0,4,6,.667,.667,1,2,.500,1,6,7,2,0,0,3,1,9,6.5,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
12,65,12,2022-12-30,Bucknell,,Holy Cross,REG (Conf),L 45-62,*,29,2,7,.286,0,0,2,7,.286,.286,1,8,.125,6,3,9,2,1,2,0,2,5,6.2,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
13,66,13,2023-01-02,Bucknell,@,Boston University,REG (Conf),L 47-68,*,33,4,9,.444,0,0,4,9,.444,.444,1,2,.500,6,8,14,3,1,0,3,3,9,9.4,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
14,67,14,2023-01-05,Bucknell,@,Lehigh,REG (Conf),L 51-64,*,19,3,6,.500,0,0,3,6,.500,.500,3,5,.600,2,2,4,0,0,0,1,2,9,5.4,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
15,68,15,2023-01-08,Bucknell,,Lafayette,REG (Conf),W 56-44,*,18,0,3,.000,0,0,0,3,.000,.000,1,2,.500,4,3,7,2,1,0,0,0,1,4.6,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
16,69,16,2023-01-11,Bucknell,@,Loyola (MD),REG (Conf),W 56-50,*,35,5,9,.556,0,0,5,9,.556,.556,1,4,.250,0,7,7,5,1,0,2,2,11,9.3,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
17,70,17,2023-01-14,Bucknell,,Colgate,REG (Conf),L 57-64 (OT),*,33,2,8,.250,0,0,2,8,.250,.250,5,6,.833,3,11,14,4,0,2,5,4,9,6.8,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
18,71,18,2023-01-18,Bucknell,,Army,REG (Conf),L 43-52,*,29,7,14,.500,0,0,7,14,.500,.500,1,5,.200,5,10,15,2,1,2,4,1,15,12.3,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
19,72,19,2023-01-21,Bucknell,@,Holy Cross,REG (Conf),L 50-69,*,16,1,4,.250,0,0,1,4,.250,.250,2,3,.667,1,2,3,1,0,0,2,3,4,0.0,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
20,73,20,2023-01-25,Bucknell,@,Navy,REG (Conf),W 67-49,*,24,5,8,.625,0,0,5,8,.625,.625,4,5,.800,2,7,9,0,0,1,0,2,14,13.4,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
21,74,21,2023-01-28,Bucknell,,Loyola (MD),REG (Conf),W 73-37,*,27,6,7,.857,0,0,6,7,.857,.857,7,10,.700,4,6,10,3,0,0,0,0,19,22.0,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
22,75,22,2023-02-04,Bucknell,@,Army,REG (Conf),W 60-50,*,24,2,9,.222,0,0,2,9,.222,.222,1,2,.500,5,10,15,1,2,0,2,3,5,5.1,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
23,76,23,2023-02-08,Bucknell,,Navy,REG (Conf),W 70-49,*,24,6,7,.857,0,0,6,7,.857,.857,1,2,.500,2,2,4,7,2,0,3,3,13,14.8,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
24,77,24,2023-02-11,Bucknell,@,Colgate,REG (Conf),W 50-44,*,33,6,12,.500,0,0,6,12,.500,.500,2,6,.333,5,10,15,3,1,0,5,3,14,9.8,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
25,78,25,2023-02-15,Bucknell,@,American,REG (Conf),W 64-52,*,35,3,10,.300,0,0,3,10,.300,.300,6,8,.750,7,14,21,3,1,1,3,2,12,14.5,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
26,79,26,2023-02-18,Bucknell,,Boston University,REG (Conf),L 57-66,*,35,1,11,.091,0,0,1,11,.091,.091,3,4,.750,3,8,11,4,2,3,3,3,5,4.5,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
27,80,27,2023-02-22,Bucknell,,Lehigh,REG (Conf),L 72-84,*,27,5,8,.625,0,0,5,8,.625,.625,4,7,.571,3,9,12,4,0,0,5,4,14,10.2,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
28,81,28,2023-02-25,Bucknell,@,Lafayette,REG (Conf),L 61-69,*,29,3,10,.300,0,0,3,10,.300,.300,5,12,.417,3,8,11,3,3,0,3,2,11,8.2,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
29,82,29,2023-03-01,Bucknell,,American,REG (Conf),W 69-66,*,34,11,17,.647,0,0,11,17,.647,.647,2,2,1.000,2,9,11,2,1,0,0,2,24,22.2,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
30,83,30,2023-03-06,Bucknell,@,Lehigh,CTOURN,L 55-63,*,30,5,12,.417,0,0,5,12,.417,.417,1,2,.500,2,5,7,2,2,0,1,3,11,8.3,Emma Shaffer,https://www.sports-reference.com/cbb/players/emma-shaffer-1.html,bucknell,2022-23
