ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,39,1,2024-11-04,USC Upstate,@,Kentucky,REG (Non-Conf),L 43-98,,14,0,1,.000,0,1,.000,0,0,.000,0,0,,0,2,2,1,0,1,0,1,0,0.9,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
2,40,3,2024-11-13,USC Upstate,@,South Carolina State,REG (Non-Conf),W 60-52,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
3,41,4,2024-11-16,USC Upstate,,Western Carolina,REG (Non-Conf),L 52-80,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
4,42,5,2024-11-19,USC Upstate,@,Furman,REG (Non-Conf),L 53-81,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
5,43,6,2024-11-22,USC Upstate,,Queens (NC),REG (Non-Conf),L 58-65,,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
6,44,7,2024-11-25,USC Upstate,,Clinton College,REG (Non-Conf),W 71-50,,9,1,3,.333,1,3,.333,0,0,.500,1,2,.500,0,0,0,0,0,0,0,0,4,1.9,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
7,45,9,2024-11-30,USC Upstate,,Bellarmine,REG (Non-Conf),L 64-72,,3,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
8,46,10,2024-12-03,USC Upstate,@,Iowa State,REG (Non-Conf),L 35-92,,11,0,1,.000,0,1,.000,0,0,.000,0,0,,0,1,1,0,0,0,2,1,0,-2.8,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
9,47,11,2024-12-05,USC Upstate,@,Kansas State,REG (Non-Conf),L 24-110,,11,0,1,.000,0,1,.000,0,0,.000,0,0,,0,1,1,0,0,0,2,3,0,-3.6,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
10,48,15,2025-01-08,USC Upstate,@,Presbyterian,REG (Conf),L 58-59,,5,0,1,.000,0,1,.000,0,0,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
11,49,16,2025-01-11,USC Upstate,@,Radford,REG (Conf),L 56-64,,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.2,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
12,50,17,2025-01-15,USC Upstate,,UNC Asheville,REG (Conf),W 60-57,,6,0,2,.000,0,2,.000,0,0,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
13,51,19,2025-01-22,USC Upstate,@,High Point,REG (Conf),L 31-84,,15,0,3,.000,0,3,.000,0,0,.000,2,2,1.000,0,2,2,1,0,0,1,3,2,-1.0,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
14,52,28,2025-02-26,USC Upstate,,High Point,REG (Conf),L 47-72,,2,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
15,53,30,2025-03-06,USC Upstate,N,Longwood,CTOURN,L 37-56,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,Cali Levine,https://www.sports-reference.com/cbb/players/cali-levine-1.html,south-carolina-upstate,2024-25
