ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,14,1,2024-11-08,Dartmouth,,Keene St.,REG (Non-Conf),W 98-47,,13,0,2,.000,0,1,.000,0,1,.000,.000,0,0,0,0,0,1,1,0,1,2,0,-1.5,Sierra Carson,https://www.sports-reference.com/cbb/players/sierra-carson-1.html,dartmouth,2024-25
2,15,3,2024-11-16,Dartmouth,,UMass Lowell,REG (Non-Conf),W 57-41,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Sierra Carson,https://www.sports-reference.com/cbb/players/sierra-carson-1.html,dartmouth,2024-25
3,16,4,2024-11-18,Dartmouth,,Vermont,REG (Non-Conf),L 37-61,,4,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,0,0,0,0,0,0,0,0,2,1.7,Sierra Carson,https://www.sports-reference.com/cbb/players/sierra-carson-1.html,dartmouth,2024-25
4,17,5,2024-12-01,Dartmouth,,New Hampshire,REG (Non-Conf),L 57-64,,12,0,2,.000,0,0,,0,2,.000,.000,0,0,2,1,3,0,1,0,0,1,0,0.9,Sierra Carson,https://www.sports-reference.com/cbb/players/sierra-carson-1.html,dartmouth,2024-25
5,18,8,2024-12-08,Dartmouth,,Massachusetts,REG (Non-Conf),L 56-67,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Sierra Carson,https://www.sports-reference.com/cbb/players/sierra-carson-1.html,dartmouth,2024-25
6,19,9,2024-12-10,Dartmouth,@,Stonehill,REG (Non-Conf),L 43-75,,22,1,4,.250,0,1,.000,1,3,.333,.250,0,0,2,0,2,1,0,0,0,0,2,1.7,Sierra Carson,https://www.sports-reference.com/cbb/players/sierra-carson-1.html,dartmouth,2024-25
7,20,10,2024-12-16,Dartmouth,@,Central Connecticut State,REG (Non-Conf),W 61-59,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,1,0,0,0,0,1.0,Sierra Carson,https://www.sports-reference.com/cbb/players/sierra-carson-1.html,dartmouth,2024-25
8,21,11,2024-12-18,Dartmouth,@,Lafayette,REG (Non-Conf),W 60-47,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Sierra Carson,https://www.sports-reference.com/cbb/players/sierra-carson-1.html,dartmouth,2024-25
9,22,12,2024-12-21,Dartmouth,@,Syracuse,REG (Non-Conf),L 52-87,,3,0,0,,0,0,,0,0,,,0,0,2,0,2,2,0,0,0,1,0,2.4,Sierra Carson,https://www.sports-reference.com/cbb/players/sierra-carson-1.html,dartmouth,2024-25
10,23,13,2025-01-01,Dartmouth,,Colby-Sawyer,REG (Non-Conf),W 94-46,,11,4,5,.800,2,2,1.000,2,3,.667,1.000,0,0,0,0,0,0,2,0,0,0,10,10.1,Sierra Carson,https://www.sports-reference.com/cbb/players/sierra-carson-1.html,dartmouth,2024-25
