ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2023-11-08,Youngstown State,,Xavier,REG (Non-Conf),W 55-41,,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
2,2,2,2023-11-11,Youngstown State,,Slippery Rock,REG (Non-Conf),W 78-32,,7,3,4,.750,0,1,.000,3,3,1.000,.750,0,0,0,1,1,0,1,0,0,0,6,5.7,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
3,3,4,2023-11-19,Youngstown State,@,West Virginia,REG (Non-Conf),L 40-94,,7,0,1,.000,0,0,,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
4,4,5,2023-11-24,Youngstown State,N,Rhode Island,REG (Non-Conf),L 50-63,,2,0,0,,0,0,,0,0,,,0,0,0,1,1,1,0,0,0,0,0,1.0,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
5,5,10,2023-12-09,Youngstown State,@,Saint Francis (PA),REG (Non-Conf),W 69-32,,4,0,0,,0,0,,0,0,,,0,0,0,1,1,0,0,0,0,1,0,-0.1,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
6,6,13,2023-12-29,Youngstown State,,Wright State,REG (Conf),L 68-82,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
7,7,16,2024-01-06,Youngstown State,@,Cleveland State,REG (Conf),L 37-79,,5,0,2,.000,0,1,.000,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
8,8,17,2024-01-11,Youngstown State,@,Green Bay,REG (Conf),L 47-85,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
9,9,21,2024-01-27,Youngstown State,,Robert Morris,REG (Conf),W 71-46,,2,0,0,,0,0,,0,0,,,0,0,0,1,1,1,0,0,1,0,0,0.0,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
10,10,24,2024-02-08,Youngstown State,@,Oakland,REG (Conf),W 85-79,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
11,11,26,2024-02-14,Youngstown State,@,Wright State,REG (Conf),W 72-52,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
12,12,27,2024-02-17,Youngstown State,,Green Bay,REG (Conf),L 59-71,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
13,13,28,2024-02-24,Youngstown State,@,Northern Kentucky,REG (Conf),W 68-64,,10,0,1,.000,0,0,,0,1,.000,.000,0,0,0,0,0,0,0,0,0,1,0,-1.1,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
14,14,30,2024-03-02,Youngstown State,@,Purdue Fort Wayne,REG (Conf),L 64-73,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,1,0,0,1,0,0.6,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
15,15,31,2024-03-05,Youngstown State,,IUPUI,REG (Non-Conf),W 73-50,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
16,16,32,2024-03-07,Youngstown State,@,Green Bay,REG (Non-Conf),L 57-94,,4,1,2,.500,0,0,,1,2,.500,.500,0,0,1,0,1,0,0,0,0,2,2,0.9,Abbie Davidson,https://www.sports-reference.com/cbb/players/abbie-davidson-1.html,youngstown-state,2023-24
