ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2022-11-07,Hartford,@,Sacred Heart,REG (Non-Conf),L 34-72,,5,1,1,1.000,1,1,1.000,0,0,1.500,0,0,0,0,0,0,0,0,0,0,3,2.7,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
2,2,7,2022-11-26,Hartford,N,Bryant,REG (Non-Conf),L 46-74,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
3,3,9,2022-12-03,Hartford,@,Brown,REG (Non-Conf),L 52-68,,2,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0.7,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
4,4,10,2022-12-05,Hartford,,Cornell,REG (Non-Conf),L 38-89,,12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
5,5,11,2022-12-07,Hartford,@,Rhode Island,REG (Non-Conf),L 34-88,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
6,6,12,2022-12-18,Hartford,,Central Connecticut State,REG (Non-Conf),L 55-69,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
7,7,13,2022-12-20,Hartford,@,Binghamton,REG (Non-Conf),L 34-70,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,1,2,0,-1.8,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
8,8,14,2022-12-22,Hartford,,UMBC,REG (Non-Conf),L 52-76,,4,0,1,.000,0,1,.000,0,0,.000,0,0,0,1,1,0,0,0,0,0,0,-0.4,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
9,9,15,2022-12-30,Hartford,@,Saint Francis (PA),REG (Non-Conf),L 36-46,,6,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,2,1,0,-1.4,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
10,10,16,2023-01-02,Hartford,@,La Salle,REG (Non-Conf),L 30-77,,6,1,2,.500,1,2,.500,0,0,.750,0,0,0,0,0,0,1,0,0,0,3,3.0,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
11,11,17,2023-01-10,Hartford,@,Pennsylvania,REG (Non-Conf),L 30-76,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
12,12,18,2023-01-12,Hartford,@,Princeton,REG (Non-Conf),L 37-84,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
13,13,25,2023-02-12,Hartford,,Villa Maria Col.,REG (Non-Conf),W 84-31,,9,0,3,.000,0,3,.000,0,0,.000,0,0,0,1,1,0,0,0,1,1,0,-3.2,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
14,14,28,2023-02-26,Hartford,@,Chicago State,REG (Non-Conf),L 62-75,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Sienna Hallberg,https://www.sports-reference.com/cbb/players/sienna-hallberg-1.html,hartford,2022-23
