ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,13,3,2023-11-17,Florida Atlantic,,Chicago State,REG (Non-Conf),W 80-57,,4,0,2,.000,0,0,,0,2,.000,.000,0,0,0,1,1,0,0,0,0,0,0,-1.1,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
2,14,7,2023-12-05,Florida Atlantic,,St. Thomas (FL),REG (Non-Conf),W 78-60,,7,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,0,1,1,0,0,0,0,0,2,1.3,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
3,15,10,2023-12-18,Florida Atlantic,@,UCF,REG (Non-Conf),W 59-58,,5,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,1,0,0,0,0.0,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
4,16,11,2023-12-21,Florida Atlantic,N,San Diego State,REG (Non-Conf),L 48-75,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
5,17,14,2024-01-07,Florida Atlantic,@,North Texas,REG (Conf),L 52-86,,10,1,3,.333,1,3,.333,0,0,,.500,0,0,0,0,0,0,0,0,0,0,3,1.3,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
6,18,15,2024-01-10,Florida Atlantic,,UTSA,REG (Conf),L 60-73,,2,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
7,19,22,2024-02-07,Florida Atlantic,@,Charlotte,REG (Conf),W 66-55,,10,1,3,.333,1,3,.333,0,0,,.500,0,0,0,0,0,0,0,2,1,1,3,1.3,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
8,20,23,2024-02-10,Florida Atlantic,,Wichita State,REG (Conf),L 56-67,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
9,21,24,2024-02-14,Florida Atlantic,,North Texas,REG (Conf),L 57-67,,9,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,0,0,0,0,1,0,2,1,3,1.3,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
10,22,25,2024-02-17,Florida Atlantic,@,South Florida,REG (Conf),W 67-55,,7,0,1,.000,0,1,.000,0,0,,.000,0,0,0,2,2,0,0,0,0,0,0,-0.1,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
11,23,26,2024-02-25,Florida Atlantic,@,UTSA,REG (Conf),L 60-76,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
12,24,27,2024-02-28,Florida Atlantic,,Tulane,REG (Conf),W 80-67,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
13,25,29,2024-03-06,Florida Atlantic,@,Temple,REG (Conf),L 53-74,,9,0,0,,0,0,,0,0,,,0,0,0,3,3,0,0,0,0,0,0,0.9,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
14,26,30,2024-03-09,Florida Atlantic,N,Wichita State,CTOURN,L 50-64,,6,0,2,.000,0,2,.000,0,0,,.000,0,0,1,1,2,0,0,1,1,0,0,-0.7,Carlie Vick,https://www.sports-reference.com/cbb/players/carlie-vick-1.html,florida-atlantic,2023-24
