ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,42,1,2023-11-09,Indiana,,Eastern Illinois,REG (Non-Conf),W 96-43,,7,1,1,1.000,0,0,1,1,1.000,1.000,0,0,0,2,2,0,1,0,1,1,2,1.9,Arielle Wisne,https://www.sports-reference.com/cbb/players/arielle-wisne-1.html,indiana,2023-24
2,43,4,2023-11-19,Indiana,,Lipscomb,REG (Non-Conf),W 77-44,,2,0,0,,0,0,0,0,,,0,0,1,1,2,1,0,0,0,0,0,1.7,Arielle Wisne,https://www.sports-reference.com/cbb/players/arielle-wisne-1.html,indiana,2023-24
3,44,8,2023-12-03,Indiana,,Stetson,REG (Non-Conf),W 72-34,,2,0,0,,0,0,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0.7,Arielle Wisne,https://www.sports-reference.com/cbb/players/arielle-wisne-1.html,indiana,2023-24
4,45,10,2023-12-18,Indiana,,Evansville,REG (Non-Conf),W 109-56,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Arielle Wisne,https://www.sports-reference.com/cbb/players/arielle-wisne-1.html,indiana,2023-24
5,46,11,2023-12-22,Indiana,,Bowling Green,REG (Non-Conf),W 84-35,,2,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Arielle Wisne,https://www.sports-reference.com/cbb/players/arielle-wisne-1.html,indiana,2023-24
6,47,13,2024-01-04,Indiana,,Michigan,REG (Conf),W 80-59,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Arielle Wisne,https://www.sports-reference.com/cbb/players/arielle-wisne-1.html,indiana,2023-24
7,48,23,2024-02-11,Indiana,,Purdue,REG (Conf),W 95-62,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Arielle Wisne,https://www.sports-reference.com/cbb/players/arielle-wisne-1.html,indiana,2023-24
8,49,24,2024-02-14,Indiana,@,Wisconsin,REG (Conf),W 68-54,,1,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Arielle Wisne,https://www.sports-reference.com/cbb/players/arielle-wisne-1.html,indiana,2023-24
9,50,27,2024-02-27,Indiana,@,Northwestern,REG (Conf),W 84-64,,0,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Arielle Wisne,https://www.sports-reference.com/cbb/players/arielle-wisne-1.html,indiana,2023-24
10,51,28,2024-03-03,Indiana,,Maryland,REG (Conf),W 71-54,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0.7,Arielle Wisne,https://www.sports-reference.com/cbb/players/arielle-wisne-1.html,indiana,2023-24
11,52,30,2024-03-23,Indiana,,Fairfield,ROUND-64,W 89-56,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Arielle Wisne,https://www.sports-reference.com/cbb/players/arielle-wisne-1.html,indiana,2023-24
12,53,32,2024-03-29,Indiana,N,South Carolina,ROUND-16,L 75-79,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Arielle Wisne,https://www.sports-reference.com/cbb/players/arielle-wisne-1.html,indiana,2023-24
