ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,41,1,2022-11-09,Tarleton State,,Arl Baptist,REG (Non-Conf),W 90-40,,5,0,0,0,0,0,0,2,2,1.000,0,1,1,0,0,0,1,1,2,0.9,Karolina Szydlowska,https://www.sports-reference.com/cbb/players/karolina-szydlowska-1.html,tarleton-state,2022-23
2,42,2,2022-11-12,Tarleton State,,North Texas-Dallas,REG (Non-Conf),W 73-46,,1,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0.3,Karolina Szydlowska,https://www.sports-reference.com/cbb/players/karolina-szydlowska-1.html,tarleton-state,2022-23
3,43,6,2022-11-30,Tarleton State,@,Western Illinois,REG (Non-Conf),W 84-69,,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Karolina Szydlowska,https://www.sports-reference.com/cbb/players/karolina-szydlowska-1.html,tarleton-state,2022-23
4,44,9,2022-12-14,Tarleton State,,Northwestern State,REG (Non-Conf),W 67-46,,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Karolina Szydlowska,https://www.sports-reference.com/cbb/players/karolina-szydlowska-1.html,tarleton-state,2022-23
