ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,15,1,2023-11-06,Boise State,,Coll. of Idaho,REG (Non-Conf),W 77-35,,5,1,1,1.000,1,1,1.000,0,0,1.500,0,0,0,0,0,0,0,1,0,0,3,3.4,Mackenzie Naro,https://www.sports-reference.com/cbb/players/mackenzie-naro-1.html,boise-state,2023-24
2,16,2,2023-11-13,Boise State,,Weber State,REG (Non-Conf),W 76-47,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0,0,1.0,Mackenzie Naro,https://www.sports-reference.com/cbb/players/mackenzie-naro-1.html,boise-state,2023-24
3,17,8,2023-12-03,Boise State,@,Eastern Washington,REG (Non-Conf),L 43-64,,1,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Mackenzie Naro,https://www.sports-reference.com/cbb/players/mackenzie-naro-1.html,boise-state,2023-24
4,18,9,2023-12-06,Boise State,,Cal State Bakersfield,REG (Non-Conf),W 87-66,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mackenzie Naro,https://www.sports-reference.com/cbb/players/mackenzie-naro-1.html,boise-state,2023-24
5,19,10,2023-12-09,Boise State,@,Brigham Young,REG (Non-Conf),L 50-65,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mackenzie Naro,https://www.sports-reference.com/cbb/players/mackenzie-naro-1.html,boise-state,2023-24
6,20,11,2023-12-12,Boise State,,Rocky Mountain,REG (Non-Conf),W 67-46,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mackenzie Naro,https://www.sports-reference.com/cbb/players/mackenzie-naro-1.html,boise-state,2023-24
7,21,14,2023-12-30,Boise State,@,Wyoming,REG (Conf),L 47-61,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mackenzie Naro,https://www.sports-reference.com/cbb/players/mackenzie-naro-1.html,boise-state,2023-24
8,22,19,2024-01-20,Boise State,,Utah State,REG (Conf),W 76-41,,3,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Mackenzie Naro,https://www.sports-reference.com/cbb/players/mackenzie-naro-1.html,boise-state,2023-24
9,23,23,2024-02-07,Boise State,,San Jose State,REG (Conf),W 73-42,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mackenzie Naro,https://www.sports-reference.com/cbb/players/mackenzie-naro-1.html,boise-state,2023-24
10,24,25,2024-02-14,Boise State,@,Utah State,REG (Conf),W 73-57,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mackenzie Naro,https://www.sports-reference.com/cbb/players/mackenzie-naro-1.html,boise-state,2023-24
11,25,32,2024-03-10,Boise State,N,Utah State,CTOURN,W 85-49,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mackenzie Naro,https://www.sports-reference.com/cbb/players/mackenzie-naro-1.html,boise-state,2023-24
