ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2022-11-14,Bowling Green,,Wright State,REG (Non-Conf),W 102-72,,9,1,4,.250,1,4,.250,0,0,,.375,0,0,0,0,0,0,0,0,1,0,3,-0.4,Jasmine Fearne,https://www.sports-reference.com/cbb/players/jasmine-fearne-1.html,bowling-green-state,2022-23
2,2,3,2022-11-17,Bowling Green,@,Indiana,REG (Non-Conf),L 61-96,,4,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,1,0,0,0,0,0,0.0,Jasmine Fearne,https://www.sports-reference.com/cbb/players/jasmine-fearne-1.html,bowling-green-state,2022-23
3,3,4,2022-11-19,Bowling Green,@,Southern Indiana,REG (Non-Conf),W 100-74,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Jasmine Fearne,https://www.sports-reference.com/cbb/players/jasmine-fearne-1.html,bowling-green-state,2022-23
4,4,6,2022-11-28,Bowling Green,,Detroit Mercy,REG (Non-Conf),W 76-29,,12,1,4,.250,1,3,.333,0,1,.000,.375,0,0,0,0,0,2,0,0,0,0,3,2.0,Jasmine Fearne,https://www.sports-reference.com/cbb/players/jasmine-fearne-1.html,bowling-green-state,2022-23
5,5,7,2022-12-02,Bowling Green,@,Valparaiso,REG (Non-Conf),W 92-61,,5,1,2,.500,1,2,.500,0,0,,.750,0,0,0,0,0,0,0,0,0,0,3,2.0,Jasmine Fearne,https://www.sports-reference.com/cbb/players/jasmine-fearne-1.html,bowling-green-state,2022-23
6,6,8,2022-12-11,Bowling Green,@,East Tennessee State,REG (Non-Conf),W 82-64,,1,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Jasmine Fearne,https://www.sports-reference.com/cbb/players/jasmine-fearne-1.html,bowling-green-state,2022-23
7,7,10,2022-12-19,Bowling Green,N,Texas A&M–Commerce,REG (Non-Conf),W 90-61,,11,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,0,0,0,2,0,0,1,2,2,-0.8,Jasmine Fearne,https://www.sports-reference.com/cbb/players/jasmine-fearne-1.html,bowling-green-state,2022-23
8,8,11,2022-12-20,Bowling Green,@,Texas–Rio Grande Valley,REG (Non-Conf),W 71-47,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Jasmine Fearne,https://www.sports-reference.com/cbb/players/jasmine-fearne-1.html,bowling-green-state,2022-23
9,9,12,2022-12-30,Bowling Green,,Findlay,REG (Non-Conf),W 92-51,,10,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,0,1,1,0,0,0,0,1,3,1.2,Jasmine Fearne,https://www.sports-reference.com/cbb/players/jasmine-fearne-1.html,bowling-green-state,2022-23
10,10,14,2023-01-07,Bowling Green,,Eastern Michigan,REG (Conf),W 79-63,,5,0,2,.000,0,2,.000,0,0,,.000,0,0,0,1,1,0,0,0,0,0,0,-1.1,Jasmine Fearne,https://www.sports-reference.com/cbb/players/jasmine-fearne-1.html,bowling-green-state,2022-23
