ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,3,2023-11-16,Loyola Marymount,,Biola,REG (Non-Conf),W 66-36,,2,0,1,.000,0,0,0,1,.000,.000,0,0,0,0,0,0,0,0,0,1,0,-1.1,Mari Somvichian,https://www.sports-reference.com/cbb/players/mari-somvichian-1.html,loyola-marymount,2023-24
2,2,9,2023-12-10,Loyola Marymount,,The Master's,REG (Non-Conf),W 58-46,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mari Somvichian,https://www.sports-reference.com/cbb/players/mari-somvichian-1.html,loyola-marymount,2023-24
3,3,15,2024-01-11,Loyola Marymount,@,Pacific,REG (Conf),L 54-75,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mari Somvichian,https://www.sports-reference.com/cbb/players/mari-somvichian-1.html,loyola-marymount,2023-24
4,4,16,2024-01-13,Loyola Marymount,@,St. Mary's (CA),REG (Conf),W 66-48,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mari Somvichian,https://www.sports-reference.com/cbb/players/mari-somvichian-1.html,loyola-marymount,2023-24
5,5,24,2024-02-17,Loyola Marymount,@,San Diego,REG (Conf),L 50-66,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Mari Somvichian,https://www.sports-reference.com/cbb/players/mari-somvichian-1.html,loyola-marymount,2023-24
6,6,27,2024-02-29,Loyola Marymount,@,Santa Clara,REG (Conf),L 45-86,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Mari Somvichian,https://www.sports-reference.com/cbb/players/mari-somvichian-1.html,loyola-marymount,2023-24
