ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2023-11-11,Wake Forest,@,Davidson,REG (Non-Conf),L 52-57,,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,Makela Quimby,https://www.sports-reference.com/cbb/players/makela-quimby-1.html,wake-forest,2023-24
2,2,4,2023-11-18,Wake Forest,N,Brigham Young,REG (Non-Conf),L 44-67,,8,0,0,,0,0,,0,0,,1,2,.500,0,1,1,0,0,1,2,1,1,-0.8,Makela Quimby,https://www.sports-reference.com/cbb/players/makela-quimby-1.html,wake-forest,2023-24
3,3,5,2023-11-20,Wake Forest,N,Saint Louis,REG (Non-Conf),W 94-66,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,Makela Quimby,https://www.sports-reference.com/cbb/players/makela-quimby-1.html,wake-forest,2023-24
4,4,7,2023-11-30,Wake Forest,,Texas A&M,REG (Non-Conf),L 57-81,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,Makela Quimby,https://www.sports-reference.com/cbb/players/makela-quimby-1.html,wake-forest,2023-24
5,5,10,2023-12-10,Wake Forest,,Norfolk State,REG (Non-Conf),W 51-46,,7,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,Makela Quimby,https://www.sports-reference.com/cbb/players/makela-quimby-1.html,wake-forest,2023-24
6,6,12,2023-12-21,Wake Forest,,Marshall,REG (Non-Conf),W 66-59,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Makela Quimby,https://www.sports-reference.com/cbb/players/makela-quimby-1.html,wake-forest,2023-24
7,7,15,2024-01-07,Wake Forest,@,Miami (FL),REG (Conf),L 47-77,,4,0,1,.000,0,1,.000,0,0,.000,0,0,,0,1,1,0,0,0,4,0,0,-4.4,Makela Quimby,https://www.sports-reference.com/cbb/players/makela-quimby-1.html,wake-forest,2023-24
8,8,16,2024-01-11,Wake Forest,,Syracuse,REG (Conf),L 56-77,,1,1,2,.500,1,2,.500,0,0,.750,0,0,,0,1,1,0,0,0,0,0,3,2.3,Makela Quimby,https://www.sports-reference.com/cbb/players/makela-quimby-1.html,wake-forest,2023-24
9,9,17,2024-01-14,Wake Forest,@,Louisville,REG (Conf),L 62-83,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Makela Quimby,https://www.sports-reference.com/cbb/players/makela-quimby-1.html,wake-forest,2023-24
10,10,20,2024-01-28,Wake Forest,@,Clemson,REG (Conf),L 59-73,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,Makela Quimby,https://www.sports-reference.com/cbb/players/makela-quimby-1.html,wake-forest,2023-24
11,11,21,2024-02-01,Wake Forest,,Miami (FL),REG (Conf),L 54-72,,2,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-0.3,Makela Quimby,https://www.sports-reference.com/cbb/players/makela-quimby-1.html,wake-forest,2023-24
12,12,23,2024-02-08,Wake Forest,@,Duke,REG (Conf),L 46-69,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Makela Quimby,https://www.sports-reference.com/cbb/players/makela-quimby-1.html,wake-forest,2023-24
13,13,32,2024-03-07,Wake Forest,N,Florida State,CTOURN,L 53-70,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Makela Quimby,https://www.sports-reference.com/cbb/players/makela-quimby-1.html,wake-forest,2023-24
