ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,16,1,2023-11-06,Abilene Christian,,Nelson,REG (Non-Conf),W 77-52,,6,0,1,.000,0,1,.000,0,0,.000,0,0,0,1,1,0,1,0,0,0,0,0.6,Tristin Keller,https://www.sports-reference.com/cbb/players/tristin-keller-1.html,abilene-christian,2023-24
2,17,5,2023-11-26,Abilene Christian,@,Navy,REG (Non-Conf),W 87-62,,1,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0.7,Tristin Keller,https://www.sports-reference.com/cbb/players/tristin-keller-1.html,abilene-christian,2023-24
3,18,6,2023-11-29,Abilene Christian,,UT Arlington,REG (Conf),W 94-76,,3,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,1,0,0,-0.3,Tristin Keller,https://www.sports-reference.com/cbb/players/tristin-keller-1.html,abilene-christian,2023-24
4,19,8,2023-12-05,Abilene Christian,@,TCU,REG (Non-Conf),L 60-77,,1,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Tristin Keller,https://www.sports-reference.com/cbb/players/tristin-keller-1.html,abilene-christian,2023-24
5,20,9,2023-12-11,Abilene Christian,,McMurry,REG (Non-Conf),W 91-55,,4,1,1,1.000,1,1,1.000,0,0,1.500,0,0,0,3,3,0,0,0,0,0,3,3.6,Tristin Keller,https://www.sports-reference.com/cbb/players/tristin-keller-1.html,abilene-christian,2023-24
6,21,11,2023-12-30,Abilene Christian,,Louisiana Tech,REG (Non-Conf),L 49-66,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Tristin Keller,https://www.sports-reference.com/cbb/players/tristin-keller-1.html,abilene-christian,2023-24
7,22,15,2024-01-18,Abilene Christian,,Tarleton State,REG (Conf),W 73-51,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Tristin Keller,https://www.sports-reference.com/cbb/players/tristin-keller-1.html,abilene-christian,2023-24
8,23,18,2024-01-27,Abilene Christian,@,Southern Utah,REG (Conf),L 80-82,,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Tristin Keller,https://www.sports-reference.com/cbb/players/tristin-keller-1.html,abilene-christian,2023-24
9,24,20,2024-02-08,Abilene Christian,,Seattle,REG (Conf),W 82-63,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Tristin Keller,https://www.sports-reference.com/cbb/players/tristin-keller-1.html,abilene-christian,2023-24
10,25,22,2024-02-15,Abilene Christian,,Texas–Rio Grande Valley,REG (Conf),W 76-69,,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Tristin Keller,https://www.sports-reference.com/cbb/players/tristin-keller-1.html,abilene-christian,2023-24
11,26,26,2024-02-29,Abilene Christian,,Southern Utah,REG (Conf),W 75-42,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Tristin Keller,https://www.sports-reference.com/cbb/players/tristin-keller-1.html,abilene-christian,2023-24
12,27,29,2024-03-09,Abilene Christian,@,Utah Valley,REG (Conf),W 81-50,,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Tristin Keller,https://www.sports-reference.com/cbb/players/tristin-keller-1.html,abilene-christian,2023-24
