ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,57,1,2024-11-04,Bucknell,@,Penn State,REG (Non-Conf),L 68-90,,10,3,4,.750,0,0,3,4,.750,.750,0,0,2,0,2,3,0,0,0,2,6,7.1,Elena Houghton,https://www.sports-reference.com/cbb/players/elena-houghton-1.html,bucknell,2024-25
2,58,5,2024-11-20,Bucknell,,Mount St. Mary's,REG (Non-Conf),W 63-47,,4,0,0,,0,0,0,0,,,0,0,0,0,0,1,1,0,1,0,0,0.7,Elena Houghton,https://www.sports-reference.com/cbb/players/elena-houghton-1.html,bucknell,2024-25
3,59,6,2024-11-23,Bucknell,,Youngstown State,REG (Non-Conf),W 51-36,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Elena Houghton,https://www.sports-reference.com/cbb/players/elena-houghton-1.html,bucknell,2024-25
4,60,7,2024-11-29,Bucknell,@,Robert Morris,REG (Non-Conf),W 65-54,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Elena Houghton,https://www.sports-reference.com/cbb/players/elena-houghton-1.html,bucknell,2024-25
5,61,12,2025-01-02,Bucknell,,Lehigh,REG (Conf),L 53-65,,7,1,1,1.000,0,0,1,1,1.000,1.000,0,0,2,0,2,0,0,0,1,0,2,2.1,Elena Houghton,https://www.sports-reference.com/cbb/players/elena-houghton-1.html,bucknell,2024-25
6,62,13,2025-01-05,Bucknell,@,Colgate,REG (Conf),W 51-34,,5,0,1,.000,0,0,0,1,.000,.000,0,0,0,0,0,0,0,0,1,0,0,-1.7,Elena Houghton,https://www.sports-reference.com/cbb/players/elena-houghton-1.html,bucknell,2024-25
7,63,14,2025-01-08,Bucknell,@,Lafayette,REG (Conf),W 64-48,,2,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Elena Houghton,https://www.sports-reference.com/cbb/players/elena-houghton-1.html,bucknell,2024-25
8,64,15,2025-01-11,Bucknell,,American,REG (Conf),W 65-50,,5,1,1,1.000,0,0,1,1,1.000,1.000,0,0,0,0,0,0,1,0,0,0,2,2.7,Elena Houghton,https://www.sports-reference.com/cbb/players/elena-houghton-1.html,bucknell,2024-25
9,65,16,2025-01-15,Bucknell,@,Holy Cross,REG (Conf),L 37-63,,15,0,4,.000,0,0,0,4,.000,.000,0,0,3,1,4,0,1,0,0,2,0,-0.2,Elena Houghton,https://www.sports-reference.com/cbb/players/elena-houghton-1.html,bucknell,2024-25
10,66,17,2025-01-18,Bucknell,@,Navy,REG (Conf),L 47-49,,8,1,2,.500,0,0,1,2,.500,.500,0,0,0,1,1,0,0,0,0,0,2,1.3,Elena Houghton,https://www.sports-reference.com/cbb/players/elena-houghton-1.html,bucknell,2024-25
11,67,18,2025-01-22,Bucknell,,Colgate,REG (Conf),W 71-67 (OT),,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Elena Houghton,https://www.sports-reference.com/cbb/players/elena-houghton-1.html,bucknell,2024-25
