ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,16,1,2024-11-04,Oregon,,California Baptist,REG (Non-Conf),W 93-63,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Filippa Tilliander,https://www.sports-reference.com/cbb/players/filippa-tilliander-1.html,oregon,2024-25
2,17,4,2024-11-12,Oregon,,North Texas,REG (Non-Conf),W 66-35,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,Filippa Tilliander,https://www.sports-reference.com/cbb/players/filippa-tilliander-1.html,oregon,2024-25
3,18,9,2024-12-04,Oregon,,Washington State,REG (Non-Conf),W 85-70,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Filippa Tilliander,https://www.sports-reference.com/cbb/players/filippa-tilliander-1.html,oregon,2024-25
4,19,14,2024-12-31,Oregon,@,Northwestern,REG (Conf),W 85-65,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Filippa Tilliander,https://www.sports-reference.com/cbb/players/filippa-tilliander-1.html,oregon,2024-25
5,20,15,2025-01-04,Oregon,,Wisconsin,REG (Conf),W 68-52,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Filippa Tilliander,https://www.sports-reference.com/cbb/players/filippa-tilliander-1.html,oregon,2024-25
6,21,18,2025-01-15,Oregon,,Purdue,REG (Conf),W 69-53,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Filippa Tilliander,https://www.sports-reference.com/cbb/players/filippa-tilliander-1.html,oregon,2024-25
7,22,22,2025-02-02,Oregon,@,Michigan,REG (Conf),L 48-80,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Filippa Tilliander,https://www.sports-reference.com/cbb/players/filippa-tilliander-1.html,oregon,2024-25
8,23,23,2025-02-06,Oregon,,Maryland,REG (Conf),L 61-79,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Filippa Tilliander,https://www.sports-reference.com/cbb/players/filippa-tilliander-1.html,oregon,2024-25
9,24,28,2025-02-23,Oregon,,Rutgers,REG (Conf),W 77-58,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.8,Filippa Tilliander,https://www.sports-reference.com/cbb/players/filippa-tilliander-1.html,oregon,2024-25
10,25,30,2025-03-06,Oregon,N,Indiana,CTOURN,L 62-78,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Filippa Tilliander,https://www.sports-reference.com/cbb/players/filippa-tilliander-1.html,oregon,2024-25
11,26,32,2025-03-23,Oregon,@,Duke,ROUND-32,L 53-59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Filippa Tilliander,https://www.sports-reference.com/cbb/players/filippa-tilliander-1.html,oregon,2024-25
