ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,5,2024-11-22,Hofstra,@,Lehigh,REG (Non-Conf),L 61-80,,0,1,1,1.000,0,0,1,1,1.000,1.000,0,0,0,0,0,0,0,0,0,0,2,1.7,Michaela Hodge,https://www.sports-reference.com/cbb/players/michaela-hodge-1.html,hofstra,2024-25
2,2,6,2024-11-30,Hofstra,@,Jacksonville,REG (Non-Conf),L 70-84,,5,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,0,1,1,0,-1.1,Michaela Hodge,https://www.sports-reference.com/cbb/players/michaela-hodge-1.html,hofstra,2024-25
3,3,7,2024-12-02,Hofstra,@,Florida,REG (Non-Conf),L 48-75,,2,0,1,.000,0,0,0,1,.000,.000,0,0,0,1,1,0,0,0,1,0,0,-1.4,Michaela Hodge,https://www.sports-reference.com/cbb/players/michaela-hodge-1.html,hofstra,2024-25
4,4,9,2024-12-11,Hofstra,,St. John's (NY),REG (Non-Conf),L 38-62,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,1,1,0,0,-0.3,Michaela Hodge,https://www.sports-reference.com/cbb/players/michaela-hodge-1.html,hofstra,2024-25
5,5,11,2024-12-29,Hofstra,,Iona,REG (Non-Conf),W 59-43,,2,0,1,.000,0,0,0,1,.000,.000,0,0,1,1,2,0,0,0,0,0,0,0.3,Michaela Hodge,https://www.sports-reference.com/cbb/players/michaela-hodge-1.html,hofstra,2024-25
6,6,17,2025-01-24,Hofstra,,Campbell,REG (Conf),W 55-47,,4,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Michaela Hodge,https://www.sports-reference.com/cbb/players/michaela-hodge-1.html,hofstra,2024-25
7,7,18,2025-01-26,Hofstra,,North Carolina A&T,REG (Conf),L 44-63,,5,0,1,.000,0,0,0,1,.000,.000,0,0,1,2,3,0,0,0,0,0,0,0.6,Michaela Hodge,https://www.sports-reference.com/cbb/players/michaela-hodge-1.html,hofstra,2024-25
8,8,20,2025-02-02,Hofstra,@,College of Charleston,REG (Conf),L 42-73,,7,2,2,1.000,0,0,2,2,1.000,1.000,0,0,1,2,3,0,0,1,0,0,4,5.4,Michaela Hodge,https://www.sports-reference.com/cbb/players/michaela-hodge-1.html,hofstra,2024-25
9,9,25,2025-02-23,Hofstra,,Monmouth,REG (Conf),W 57-54,,1,0,1,.000,0,0,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Michaela Hodge,https://www.sports-reference.com/cbb/players/michaela-hodge-1.html,hofstra,2024-25
10,10,26,2025-02-28,Hofstra,@,Hampton,REG (Conf),W 53-47,,2,0,1,.000,0,0,0,1,.000,.000,0,0,1,0,1,0,0,0,2,0,0,-2.0,Michaela Hodge,https://www.sports-reference.com/cbb/players/michaela-hodge-1.html,hofstra,2024-25
11,11,29,2025-03-08,Hofstra,,Northeastern,REG (Conf),W 69-53,,4,0,1,.000,0,0,0,1,.000,.000,0,0,1,2,3,0,0,0,0,1,0,0.2,Michaela Hodge,https://www.sports-reference.com/cbb/players/michaela-hodge-1.html,hofstra,2024-25
