ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2022-11-07,Army,,Emmanuel (MA),REG (Non-Conf),W 77-53,,6,0,1,.000,0,0,0,1,.000,.000,0,0,2,0,2,0,1,0,0,0,0,1.7,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
2,2,2,2022-11-10,Army,@,Binghamton,REG (Non-Conf),L 61-76,,4,0,0,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,1.0,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
3,3,3,2022-11-13,Army,@,Texas A&M,REG (Non-Conf),L 49-73,,4,1,2,.500,0,0,1,2,.500,.500,0,0,1,0,1,0,0,0,1,2,2,-0.1,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
4,4,5,2022-11-21,Army,@,Vermont,REG (Non-Conf),L 37-60,,3,1,1,1.000,0,0,1,1,1.000,1.000,0,0,0,0,0,0,0,0,0,0,2,1.7,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
5,5,6,2022-11-27,Army,@,William & Mary,REG (Non-Conf),L 66-69,,9,1,1,1.000,0,0,1,1,1.000,1.000,0,0,1,2,3,0,1,0,0,0,2,4.0,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
6,6,7,2022-12-01,Army,,Sacred Heart,REG (Non-Conf),W 50-48,,4,0,0,,0,0,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0.7,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
7,7,9,2022-12-11,Army,@,Maine,REG (Non-Conf),L 60-88,,4,0,2,.000,0,0,0,2,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
8,8,10,2022-12-18,Army,,Eastern Kentucky,REG (Non-Conf),L 62-83,,3,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
9,9,11,2022-12-30,Army,@,Lehigh,REG (Conf),L 68-90,,5,0,0,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0.7,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
10,10,12,2023-01-02,Army,,Lafayette,REG (Conf),W 75-56,,2,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
11,11,14,2023-01-08,Army,@,Colgate,REG (Conf),L 52-65,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
12,12,15,2023-01-11,Army,@,American,REG (Conf),W 77-56,,11,1,2,.500,0,0,1,2,.500,.500,0,0,0,3,3,1,1,0,1,1,2,2.2,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
13,13,16,2023-01-15,Army,,Boston University,REG (Conf),L 52-68,,4,0,1,.000,0,0,0,1,.000,.000,0,0,1,0,1,0,0,0,0,0,0,0.0,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
14,14,18,2023-01-21,Army,,Navy,REG (Conf),W 75-61,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
15,15,19,2023-01-25,Army,,American,REG (Conf),W 63-62,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
16,16,21,2023-02-04,Army,,Bucknell,REG (Conf),L 50-60,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
17,17,23,2023-02-11,Army,@,Navy,REG (Conf),W 66-64,,3,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
18,18,25,2023-02-18,Army,@,Lafayette,REG (Conf),W 72-51,,3,0,0,,0,0,0,0,,,0,0,1,2,3,0,1,0,0,0,0,2.3,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
19,19,26,2023-02-22,Army,@,Boston University,REG (Conf),L 70-77,,3,0,0,,0,0,0,0,,,0,0,1,0,1,1,0,0,0,0,0,1.4,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
20,20,27,2023-02-25,Army,,Holy Cross,REG (Conf),L 54-60,,2,0,0,,0,0,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0.7,Linden Madison,https://www.sports-reference.com/cbb/players/linden-madison-1.html,army,2022-23
