ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,30,4,2024-11-17,Middle Tennessee,,Alcorn State,REG (Non-Conf),W 80-48,,7,0,0,,0,0,,0,0,,0,0,1,0,1,2,0,0,1,0,0,1.1,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2024-25
2,31,6,2024-11-26,Middle Tennessee,@,Florida A&M,REG (Non-Conf),W 80-54,,7,0,2,.000,0,2,.000,0,0,.000,0,0,1,1,2,0,0,0,1,1,0,-1.8,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2024-25
3,32,9,2024-12-04,Middle Tennessee,,SIU Edwardsville,REG (Non-Conf),W 85-41,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2024-25
4,33,13,2024-12-29,Middle Tennessee,@,Princeton,REG (Non-Conf),L 51-64,,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,0,0,0,0,2.0,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2024-25
5,34,14,2025-01-02,Middle Tennessee,,Florida International,REG (Conf),W 69-38,,1,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,1,0,0,-1.7,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2024-25
6,35,19,2025-01-23,Middle Tennessee,,Sam Houston State,REG (Conf),W 66-38,,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2,0,-0.8,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2024-25
7,36,20,2025-01-25,Middle Tennessee,,Louisiana Tech,REG (Conf),W 61-43,,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2024-25
8,37,21,2025-01-30,Middle Tennessee,@,New Mexico State,REG (Conf),W 66-59 (OT),,6,1,1,1.000,1,1,1.000,0,0,1.500,0,0,0,0,0,0,0,0,0,1,3,2.3,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2024-25
9,38,22,2025-02-01,Middle Tennessee,@,UTEP,REG (Conf),W 64-42,,2,0,2,.000,0,2,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2024-25
10,39,24,2025-02-08,Middle Tennessee,,Kennesaw State,REG (Conf),W 76-43,,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,1,0,0.6,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2024-25
11,40,28,2025-02-27,Middle Tennessee,,New Mexico State,REG (Conf),W 63-41,,2,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2024-25
12,41,29,2025-03-01,Middle Tennessee,,UTEP,REG (Conf),W 57-35,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2024-25
13,42,32,2025-03-12,Middle Tennessee,N,Kennesaw State,CTOURN,W 73-46,,3,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2024-25
