ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,7,4,2024-11-17,Middle Tennessee,,Alcorn State,REG (Non-Conf),W 80-48,,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Gracie Hamby,https://www.sports-reference.com/cbb/players/gracie-hamby-1.html,middle-tennessee,2024-25
2,8,6,2024-11-26,Middle Tennessee,@,Florida A&M,REG (Non-Conf),W 80-54,,2,0,0,0,0,0,0,1,2,.500,1,0,1,0,0,0,0,0,1,1.3,Gracie Hamby,https://www.sports-reference.com/cbb/players/gracie-hamby-1.html,middle-tennessee,2024-25
3,9,9,2024-12-04,Middle Tennessee,,SIU Edwardsville,REG (Non-Conf),W 85-41,,1,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,-0.7,Gracie Hamby,https://www.sports-reference.com/cbb/players/gracie-hamby-1.html,middle-tennessee,2024-25
4,10,34,2025-03-15,Middle Tennessee,N,Liberty,CTOURN,L 48-53,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Gracie Hamby,https://www.sports-reference.com/cbb/players/gracie-hamby-1.html,middle-tennessee,2024-25
