ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,3,8,2023-11-30,George Washington,,Cheyney,REG (Non-Conf),W 91-30,,8,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,1,1,2,1,0,0,0,1,4,4.0,Natalia Sierra-Vargas,https://www.sports-reference.com/cbb/players/natalia--sierra-vargas-1.html,george-washington,2023-24
2,4,10,2023-12-09,George Washington,,Coppin State,REG (Non-Conf),W 55-41,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Natalia Sierra-Vargas,https://www.sports-reference.com/cbb/players/natalia--sierra-vargas-1.html,george-washington,2023-24
3,5,23,2024-02-07,George Washington,,St. Bonaventure,REG (Conf),W 69-48,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Natalia Sierra-Vargas,https://www.sports-reference.com/cbb/players/natalia--sierra-vargas-1.html,george-washington,2023-24
