ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,41,2,2022-11-13,Murray State,@,Purdue,REG (Non-Conf),L 61-90,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Charlee Settle,https://www.sports-reference.com/cbb/players/charlee-settle-1.html,murray-state,2022-23
2,42,4,2022-11-26,Murray State,@,Alabama A&M,REG (Non-Conf),W 57-36,,1,0,0,0,0,0,0,0,0,,0,2,2,0,0,0,1,1,0,-0.8,Charlee Settle,https://www.sports-reference.com/cbb/players/charlee-settle-1.html,murray-state,2022-23
3,43,6,2022-12-03,Murray State,,Southern Indiana,REG (Non-Conf),W 77-59,,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Charlee Settle,https://www.sports-reference.com/cbb/players/charlee-settle-1.html,murray-state,2022-23
4,44,9,2022-12-20,Murray State,@,Bellarmine,REG (Non-Conf),W 74-59,,2,0,0,0,0,0,0,0,0,,0,1,1,0,1,0,0,0,0,1.3,Charlee Settle,https://www.sports-reference.com/cbb/players/charlee-settle-1.html,murray-state,2022-23
5,45,11,2023-01-01,Murray State,,Valparaiso,REG (Conf),W 67-48,,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Charlee Settle,https://www.sports-reference.com/cbb/players/charlee-settle-1.html,murray-state,2022-23
6,46,12,2023-01-06,Murray State,@,Northern Iowa,REG (Conf),L 54-81,,1,0,0,0,0,0,0,1,2,.500,0,1,1,0,1,0,0,0,1,1.9,Charlee Settle,https://www.sports-reference.com/cbb/players/charlee-settle-1.html,murray-state,2022-23
7,47,13,2023-01-08,Murray State,@,Drake,REG (Conf),L 67-80,,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Charlee Settle,https://www.sports-reference.com/cbb/players/charlee-settle-1.html,murray-state,2022-23
8,48,14,2023-01-11,Murray State,,Belmont,REG (Conf),W 64-46,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Charlee Settle,https://www.sports-reference.com/cbb/players/charlee-settle-1.html,murray-state,2022-23
9,49,15,2023-01-15,Murray State,,Bradley,REG (Conf),W 83-48,,5,0,0,0,0,0,0,0,0,,0,2,2,0,0,0,0,1,0,0.2,Charlee Settle,https://www.sports-reference.com/cbb/players/charlee-settle-1.html,murray-state,2022-23
10,50,17,2023-01-22,Murray State,,Missouri State,REG (Conf),L 61-77,,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Charlee Settle,https://www.sports-reference.com/cbb/players/charlee-settle-1.html,murray-state,2022-23
11,51,21,2023-02-05,Murray State,@,Illinois State,REG (Conf),L 73-79,,5,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,2,0,-0.5,Charlee Settle,https://www.sports-reference.com/cbb/players/charlee-settle-1.html,murray-state,2022-23
