ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2022-11-10,Murray State,,Christian Bros.,REG (Non-Conf),W 97-54,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Julia Puente Valverde,https://www.sports-reference.com/cbb/players/julia-puente-valverde-1.html,murray-state,2022-23
2,2,2,2022-11-13,Murray State,@,Purdue,REG (Non-Conf),L 61-90,,1,0,1,.000,0,0,0,1,.000,.000,0,0,1,1,2,0,0,0,0,0,0,0.3,Julia Puente Valverde,https://www.sports-reference.com/cbb/players/julia-puente-valverde-1.html,murray-state,2022-23
3,3,4,2022-11-26,Murray State,@,Alabama A&M,REG (Non-Conf),W 57-36,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Julia Puente Valverde,https://www.sports-reference.com/cbb/players/julia-puente-valverde-1.html,murray-state,2022-23
4,4,6,2022-12-03,Murray State,,Southern Indiana,REG (Non-Conf),W 77-59,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Julia Puente Valverde,https://www.sports-reference.com/cbb/players/julia-puente-valverde-1.html,murray-state,2022-23
5,5,14,2023-01-11,Murray State,,Belmont,REG (Conf),W 64-46,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Julia Puente Valverde,https://www.sports-reference.com/cbb/players/julia-puente-valverde-1.html,murray-state,2022-23
6,6,15,2023-01-15,Murray State,,Bradley,REG (Conf),W 83-48,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Julia Puente Valverde,https://www.sports-reference.com/cbb/players/julia-puente-valverde-1.html,murray-state,2022-23
7,7,17,2023-01-22,Murray State,,Missouri State,REG (Conf),L 61-77,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Julia Puente Valverde,https://www.sports-reference.com/cbb/players/julia-puente-valverde-1.html,murray-state,2022-23
8,8,23,2023-02-12,Murray State,,Evansville,REG (Conf),W 80-60,,2,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,0,2,0,0,-1.7,Julia Puente Valverde,https://www.sports-reference.com/cbb/players/julia-puente-valverde-1.html,murray-state,2022-23
9,9,26,2023-02-23,Murray State,,Drake,REG (Conf),L 71-97,,1,0,1,.000,0,0,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Julia Puente Valverde,https://www.sports-reference.com/cbb/players/julia-puente-valverde-1.html,murray-state,2022-23
10,10,27,2023-02-25,Murray State,,Northern Iowa,REG (Conf),L 46-76,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Julia Puente Valverde,https://www.sports-reference.com/cbb/players/julia-puente-valverde-1.html,murray-state,2022-23
11,11,30,2023-03-09,Murray State,N,Evansville,CTOURN,W 88-46,,6,1,2,.500,0,0,1,2,.500,.500,0,0,0,0,0,0,1,0,0,3,2,0.8,Julia Puente Valverde,https://www.sports-reference.com/cbb/players/julia-puente-valverde-1.html,murray-state,2022-23
