ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,7,2,2023-11-15,UC Santa Barbara,@,Idaho State,REG (Non-Conf),L 64-70,,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Kathleen Hutchens,https://www.sports-reference.com/cbb/players/kathleen-hutchens-1.html,california-santa-barbara,2023-24
2,8,6,2023-11-28,UC Santa Barbara,,UC-Santa Cruz,REG (Non-Conf),W 87-46,,14,0,3,.000,0,2,.000,0,1,.000,.000,0,0,0,0,0,3,0,1,3,1,0,-2.7,Kathleen Hutchens,https://www.sports-reference.com/cbb/players/kathleen-hutchens-1.html,california-santa-barbara,2023-24
3,9,10,2023-12-20,UC Santa Barbara,,Life Pacific,REG (Non-Conf),W 107-53,,14,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,0,1,1,3,0,0,0,0,3,5.1,Kathleen Hutchens,https://www.sports-reference.com/cbb/players/kathleen-hutchens-1.html,california-santa-barbara,2023-24
4,10,17,2024-01-18,UC Santa Barbara,,Cal State Northridge,REG (Conf),W 70-41,,5,1,2,.500,1,2,.500,0,0,,.750,0,0,0,1,1,0,0,0,2,0,3,0.3,Kathleen Hutchens,https://www.sports-reference.com/cbb/players/kathleen-hutchens-1.html,california-santa-barbara,2023-24
5,11,19,2024-01-25,UC Santa Barbara,,Hawaii,REG (Conf),W 65-53,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Kathleen Hutchens,https://www.sports-reference.com/cbb/players/kathleen-hutchens-1.html,california-santa-barbara,2023-24
6,12,20,2024-02-01,UC Santa Barbara,@,UC Davis,REG (Conf),L 62-82,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Kathleen Hutchens,https://www.sports-reference.com/cbb/players/kathleen-hutchens-1.html,california-santa-barbara,2023-24
7,13,23,2024-02-10,UC Santa Barbara,@,Cal State Northridge,REG (Conf),W 64-60,,3,0,1,.000,0,1,.000,0,0,,.000,0,0,1,0,1,0,0,0,0,0,0,0.0,Kathleen Hutchens,https://www.sports-reference.com/cbb/players/kathleen-hutchens-1.html,california-santa-barbara,2023-24
8,14,26,2024-02-22,UC Santa Barbara,,UC Irvine,REG (Conf),L 46-54,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Kathleen Hutchens,https://www.sports-reference.com/cbb/players/kathleen-hutchens-1.html,california-santa-barbara,2023-24
9,15,28,2024-03-02,UC Santa Barbara,,Cal State Fullerton,REG (Conf),L 65-78,,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Kathleen Hutchens,https://www.sports-reference.com/cbb/players/kathleen-hutchens-1.html,california-santa-barbara,2023-24
10,16,31,2024-03-13,UC Santa Barbara,N,Long Beach State,CTOURN,L 75-90,,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Kathleen Hutchens,https://www.sports-reference.com/cbb/players/kathleen-hutchens-1.html,california-santa-barbara,2023-24
