ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,4,2022-11-22,Wyoming,,Regis (CO),REG (Non-Conf),W 64-44,,5,0,2,.000,0,2,.000,0,0,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,Grace Moyers,https://www.sports-reference.com/cbb/players/grace-moyers-1.html,wyoming,2022-23
2,2,5,2022-11-25,Wyoming,@,Pacific,REG (Non-Conf),L 53-67,,10,0,2,.000,0,2,.000,0,0,.000,0,0,,0,2,2,0,1,0,0,0,0,0.2,Grace Moyers,https://www.sports-reference.com/cbb/players/grace-moyers-1.html,wyoming,2022-23
3,3,8,2022-12-05,Wyoming,,N.M. Highlands,REG (Non-Conf),W 80-24,,14,1,6,.167,1,6,.167,0,0,.250,0,0,,0,1,1,0,0,0,2,0,3,-2.5,Grace Moyers,https://www.sports-reference.com/cbb/players/grace-moyers-1.html,wyoming,2022-23
4,4,9,2022-12-11,Wyoming,,Kansas City,REG (Non-Conf),W 72-43,,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,Grace Moyers,https://www.sports-reference.com/cbb/players/grace-moyers-1.html,wyoming,2022-23
5,5,10,2022-12-18,Wyoming,@,Nebraska,REG (Non-Conf),L 39-66,,1,1,1,1.000,1,1,1.000,0,0,1.500,0,0,,0,0,0,0,0,0,0,0,3,2.7,Grace Moyers,https://www.sports-reference.com/cbb/players/grace-moyers-1.html,wyoming,2022-23
6,6,20,2023-01-26,Wyoming,@,Utah State,REG (Conf),W 64-52,,2,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Grace Moyers,https://www.sports-reference.com/cbb/players/grace-moyers-1.html,wyoming,2022-23
7,7,21,2023-01-28,Wyoming,@,Boise State,REG (Conf),W 69-62,,1,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,Grace Moyers,https://www.sports-reference.com/cbb/players/grace-moyers-1.html,wyoming,2022-23
8,8,22,2023-02-02,Wyoming,,San Jose State,REG (Conf),W 68-54,,4,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,Grace Moyers,https://www.sports-reference.com/cbb/players/grace-moyers-1.html,wyoming,2022-23
9,9,24,2023-02-09,Wyoming,,Utah State,REG (Conf),W 70-48,,7,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,0,0,2,1,0,-3.1,Grace Moyers,https://www.sports-reference.com/cbb/players/grace-moyers-1.html,wyoming,2022-23
10,10,27,2023-02-18,Wyoming,@,San Diego State,REG (Conf),W 70-58,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Grace Moyers,https://www.sports-reference.com/cbb/players/grace-moyers-1.html,wyoming,2022-23
11,11,28,2023-02-23,Wyoming,,Nevada,REG (Conf),W 81-66,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Grace Moyers,https://www.sports-reference.com/cbb/players/grace-moyers-1.html,wyoming,2022-23
12,12,30,2023-03-06,Wyoming,N,San Jose State,CTOURN,W 72-57,,2,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,1.6,Grace Moyers,https://www.sports-reference.com/cbb/players/grace-moyers-1.html,wyoming,2022-23
13,13,33,2023-03-17,Wyoming,,Texas A&M–Corpus Christi,WNIT,W 75-41,,3,1,2,.500,1,2,.500,0,0,.750,0,0,,0,0,0,0,0,0,0,0,3,2.0,Grace Moyers,https://www.sports-reference.com/cbb/players/grace-moyers-1.html,wyoming,2022-23
