ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,63,15,2024-01-07,Charlotte,,UAB,REG (Conf),W 91-69,,2,1,2,.500,1,2,.500,0,0,.750,0,0,0,2,2,0,0,0,0,0,3,2.6,Tamia Davis,https://www.sports-reference.com/cbb/players/tamia-davis-1.html,charlotte,2023-24
2,64,18,2024-01-17,Charlotte,,Tulane,REG (Conf),W 66-64,,12,3,6,.500,3,6,.500,0,0,.750,0,0,0,1,1,0,1,0,0,1,9,6.9,Tamia Davis,https://www.sports-reference.com/cbb/players/tamia-davis-1.html,charlotte,2023-24
3,65,19,2024-01-21,Charlotte,@,Temple,REG (Conf),L 68-73,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Tamia Davis,https://www.sports-reference.com/cbb/players/tamia-davis-1.html,charlotte,2023-24
4,66,20,2024-01-27,Charlotte,,Tulsa,REG (Conf),L 55-65,,1,0,2,.000,0,2,.000,0,0,.000,0,0,0,0,0,0,1,0,0,0,0,-0.4,Tamia Davis,https://www.sports-reference.com/cbb/players/tamia-davis-1.html,charlotte,2023-24
5,67,21,2024-01-31,Charlotte,@,Tulane,REG (Conf),L 68-70,,6,1,2,.500,1,2,.500,0,0,.750,0,0,0,2,2,1,0,0,0,0,3,3.3,Tamia Davis,https://www.sports-reference.com/cbb/players/tamia-davis-1.html,charlotte,2023-24
6,68,23,2024-02-07,Charlotte,,Florida Atlantic,REG (Conf),L 55-66,,3,2,2,1.000,2,2,1.000,0,0,1.500,0,0,0,0,0,0,0,0,0,1,6,5.0,Tamia Davis,https://www.sports-reference.com/cbb/players/tamia-davis-1.html,charlotte,2023-24
7,69,24,2024-02-10,Charlotte,@,East Carolina,REG (Conf),L 56-70,,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Tamia Davis,https://www.sports-reference.com/cbb/players/tamia-davis-1.html,charlotte,2023-24
8,70,26,2024-02-18,Charlotte,@,SMU,REG (Conf),L 49-64,,6,0,2,.000,0,2,.000,0,0,.000,0,0,0,1,1,0,0,0,2,1,0,-3.5,Tamia Davis,https://www.sports-reference.com/cbb/players/tamia-davis-1.html,charlotte,2023-24
9,71,28,2024-02-24,Charlotte,,Wichita State,REG (Conf),W 74-48,,5,2,4,.500,2,4,.500,0,0,.750,0,0,0,2,2,0,0,0,0,1,6,4.2,Tamia Davis,https://www.sports-reference.com/cbb/players/tamia-davis-1.html,charlotte,2023-24
10,72,29,2024-03-03,Charlotte,@,Florida Atlantic,REG (Conf),L 47-56,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Tamia Davis,https://www.sports-reference.com/cbb/players/tamia-davis-1.html,charlotte,2023-24
11,73,30,2024-03-05,Charlotte,,East Carolina,REG (Conf),L 66-71,,17,4,9,.444,4,9,.444,0,0,.667,0,0,0,0,0,0,1,0,2,0,12,6.3,Tamia Davis,https://www.sports-reference.com/cbb/players/tamia-davis-1.html,charlotte,2023-24
12,74,31,2024-03-10,Charlotte,N,Tulane,CTOURN,L 52-65,,6,1,2,.500,1,2,.500,0,0,.750,0,0,0,0,0,0,0,0,0,0,3,2.0,Tamia Davis,https://www.sports-reference.com/cbb/players/tamia-davis-1.html,charlotte,2023-24
