ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,10,1,2023-11-08,Stanford,,Hawaii,REG (Non-Conf),W 87-40,,4,0,0,,0,0,,0,0,,0,0,2,0,2,0,0,0,0,0,0,1.4,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
2,11,2,2023-11-12,Stanford,,Indiana,REG (Non-Conf),W 96-64,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2,0,-0.8,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
3,12,3,2023-11-16,Stanford,,Cal Poly,REG (Non-Conf),W 86-32,,4,0,0,,0,0,,0,0,,0,0,0,2,2,1,0,0,1,1,0,-0.1,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
4,13,7,2023-11-26,Stanford,,Albany (NY),REG (Non-Conf),W 79-35,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
5,14,8,2023-12-01,Stanford,@,San Diego State,REG (Non-Conf),W 85-44,,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
6,15,10,2023-12-15,Stanford,,Portland,REG (Non-Conf),W 81-51,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2,0,-0.8,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
7,16,11,2023-12-20,Stanford,,UC Davis,REG (Non-Conf),W 92-52,,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0,0,1.0,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
8,17,12,2023-12-29,Stanford,@,California,REG (Conf),W 78-51,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
9,18,13,2023-12-31,Stanford,,Morgan State,REG (Non-Conf),W 98-38,,3,0,1,.000,0,1,.000,0,0,.000,0,0,0,1,1,0,0,0,0,0,0,-0.4,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
10,19,18,2024-01-19,Stanford,,Oregon,REG (Conf),W 88-63,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
11,20,20,2024-01-26,Stanford,@,Arizona State,REG (Conf),W 80-50,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0,0,1.0,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
12,21,21,2024-01-28,Stanford,@,Arizona,REG (Conf),W 96-64,,2,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0.7,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
13,22,26,2024-02-16,Stanford,,California,REG (Conf),W 84-49,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
14,23,30,2024-03-02,Stanford,@,Oregon,REG (Conf),W 76-56,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0,0,1.0,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
15,24,34,2024-03-22,Stanford,,Norfolk State,ROUND-64,W 79-50,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Lauren Green,https://www.sports-reference.com/cbb/players/lauren-green-2.html,stanford,2023-24
