ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,15,1,2021-11-09,Rhode Island,@,Dartmouth,REG (Non-Conf),W 83-37,,8,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,0,1,1,0,0,0,0,0,3,3.0,Rebecca Demeke,https://www.sports-reference.com/cbb/players/rebecca-demeke-1.html,rhode-island,2021-22
2,16,2,2021-11-12,Rhode Island,,Merrimack,REG (Non-Conf),W 106-42,,13,3,7,.429,3,3,1.000,0,4,.000,.643,0,0,1,0,1,0,0,0,1,2,9,4.2,Rebecca Demeke,https://www.sports-reference.com/cbb/players/rebecca-demeke-1.html,rhode-island,2021-22
3,17,3,2021-11-14,Rhode Island,,Coppin State,REG (Non-Conf),W 74-45,,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,0,1,1,0,0,0,0,0,2,2.0,Rebecca Demeke,https://www.sports-reference.com/cbb/players/rebecca-demeke-1.html,rhode-island,2021-22
4,18,5,2021-11-20,Rhode Island,,Princeton,REG (Non-Conf),W 61-53,,3,0,1,.000,0,1,.000,0,0,,.000,0,0,0,1,1,0,0,0,2,0,0,-2.4,Rebecca Demeke,https://www.sports-reference.com/cbb/players/rebecca-demeke-1.html,rhode-island,2021-22
5,19,6,2021-11-23,Rhode Island,,Harvard,REG (Non-Conf),W 70-46,,2,0,2,.000,0,1,.000,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,Rebecca Demeke,https://www.sports-reference.com/cbb/players/rebecca-demeke-1.html,rhode-island,2021-22
6,20,10,2021-12-05,Rhode Island,@,Buffalo,REG (Non-Conf),L 55-69,,5,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,1,0,0,0,0,0,0.0,Rebecca Demeke,https://www.sports-reference.com/cbb/players/rebecca-demeke-1.html,rhode-island,2021-22
7,21,11,2021-12-08,Rhode Island,,Hartford,REG (Non-Conf),W 84-49,,15,1,5,.200,1,4,.250,0,1,.000,.300,0,0,1,3,4,1,0,0,1,1,3,0.8,Rebecca Demeke,https://www.sports-reference.com/cbb/players/rebecca-demeke-1.html,rhode-island,2021-22
8,22,12,2021-12-12,Rhode Island,@,Maine,REG (Non-Conf),W 45-44,,13,1,3,.333,1,2,.500,0,1,.000,.500,0,0,0,0,0,0,0,0,0,0,3,1.3,Rebecca Demeke,https://www.sports-reference.com/cbb/players/rebecca-demeke-1.html,rhode-island,2021-22
9,23,13,2021-12-19,Rhode Island,,Boston University,REG (Non-Conf),W 54-44,,3,0,1,.000,0,0,,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Rebecca Demeke,https://www.sports-reference.com/cbb/players/rebecca-demeke-1.html,rhode-island,2021-22
10,24,26,2022-02-23,Rhode Island,,St. Bonaventure,REG (Conf),W 67-54,,1,0,0,,0,0,,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Rebecca Demeke,https://www.sports-reference.com/cbb/players/rebecca-demeke-1.html,rhode-island,2021-22
11,25,29,2022-03-18,Rhode Island,,Quinnipiac,WNIT,L 50-61,,1,0,1,.000,0,0,,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Rebecca Demeke,https://www.sports-reference.com/cbb/players/rebecca-demeke-1.html,rhode-island,2021-22
