ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,14,2,2021-11-12,Longwood,,Stony Brook,REG (Non-Conf),L 63-82,,3,0,1,.000,0,0,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
2,15,4,2021-11-20,Longwood,@,Saint Francis (PA),REG (Non-Conf),W 63-54,,7,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
3,16,5,2021-11-28,Longwood,@,Lamar,REG (Non-Conf),W 62-59,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
4,17,8,2021-12-05,Longwood,@,Iowa State,REG (Non-Conf),L 56-94,,8,0,1,.000,0,0,0,1,.000,.000,0,0,1,0,1,0,0,1,0,0,0,0.7,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
5,18,17,2022-01-19,Longwood,,USC Upstate,REG (Conf),L 69-76,,3,0,0,,0,0,0,0,,,0,0,0,1,1,0,1,0,1,1,0,-0.1,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
6,19,18,2022-01-22,Longwood,,Gardner-Webb,REG (Conf),W 86-75,,1,0,1,.000,0,0,0,1,.000,.000,0,0,1,0,1,0,0,0,0,0,0,0.0,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
7,20,19,2022-01-23,Longwood,,Winthrop,REG (Conf),W 85-58,,6,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,1,1,2,0,-1.1,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
8,21,21,2022-01-29,Longwood,@,Radford,REG (Conf),W 78-51,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
9,22,22,2022-02-02,Longwood,,Charleston Southern,REG (Conf),W 91-59,,4,0,1,.000,0,0,0,1,.000,.000,0,0,1,1,2,1,0,1,0,1,0,1.3,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
10,23,24,2022-02-12,Longwood,@,Winthrop,REG (Conf),W 78-56,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,-1.4,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
11,24,26,2022-02-19,Longwood,,Presbyterian,REG (Conf),W 76-63,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
12,25,27,2022-02-20,Longwood,@,Hampton,REG (Conf),W 77-51,,2,1,1,1.000,0,0,1,1,1.000,1.000,0,0,0,0,0,0,0,0,0,1,2,1.3,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
13,26,31,2022-03-05,Longwood,,UNC Asheville,CTOURN,W 81-56,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,-1.4,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
14,27,32,2022-03-06,Longwood,@,Campbell,CTOURN,W 86-47,,2,0,2,.000,0,0,0,2,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,Hannah Osaro,https://www.sports-reference.com/cbb/players/hannah-osaro-1.html,longwood,2021-22
