ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,7,2021-12-01,St. Thomas,,Northern Iowa,REG (Non-Conf),L 62-102,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Brynn Schwanz,https://www.sports-reference.com/cbb/players/brynn-schwanz-1.html,st-thomas-mn,2021-22
2,2,8,2021-12-04,St. Thomas,@,Chicago State,REG (Non-Conf),W 62-57,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Brynn Schwanz,https://www.sports-reference.com/cbb/players/brynn-schwanz-1.html,st-thomas-mn,2021-22
3,3,9,2021-12-11,St. Thomas,,Idaho State,REG (Non-Conf),L 57-67,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Brynn Schwanz,https://www.sports-reference.com/cbb/players/brynn-schwanz-1.html,st-thomas-mn,2021-22
4,4,10,2021-12-15,St. Thomas,,Northland,REG (Non-Conf),W 92-19,,16,0,4,.000,0,4,.000,0,0,.000,0,0,0,2,2,0,1,0,0,0,0,-1.2,Brynn Schwanz,https://www.sports-reference.com/cbb/players/brynn-schwanz-1.html,st-thomas-mn,2021-22
5,5,17,2022-01-20,St. Thomas,@,South Dakota State,REG (Conf),L 47-88,,5,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Brynn Schwanz,https://www.sports-reference.com/cbb/players/brynn-schwanz-1.html,st-thomas-mn,2021-22
6,6,18,2022-01-22,St. Thomas,@,South Dakota,REG (Conf),L 43-70,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Brynn Schwanz,https://www.sports-reference.com/cbb/players/brynn-schwanz-1.html,st-thomas-mn,2021-22
7,7,19,2022-01-29,St. Thomas,,Western Illinois,REG (Conf),L 67-82,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Brynn Schwanz,https://www.sports-reference.com/cbb/players/brynn-schwanz-1.html,st-thomas-mn,2021-22
8,8,24,2022-02-14,St. Thomas,@,Kansas City,REG (Conf),L 53-69,,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Brynn Schwanz,https://www.sports-reference.com/cbb/players/brynn-schwanz-1.html,st-thomas-mn,2021-22
9,9,25,2022-02-17,St. Thomas,,South Dakota,REG (Conf),L 46-73,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Brynn Schwanz,https://www.sports-reference.com/cbb/players/brynn-schwanz-1.html,st-thomas-mn,2021-22
10,10,26,2022-02-19,St. Thomas,,South Dakota State,REG (Conf),L 42-83,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Brynn Schwanz,https://www.sports-reference.com/cbb/players/brynn-schwanz-1.html,st-thomas-mn,2021-22
