ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,33,1,2023-11-06,Holy Cross,@,Boston College,REG (Non-Conf),L 61-66,,2,0,1,.000,0,1,.000,0,0,,.000,0,0,0,2,2,0,0,0,0,0,0,-0.1,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
2,34,5,2023-11-21,Holy Cross,@,Villanova,REG (Non-Conf),L 53-63,,8,1,2,.500,1,2,.500,0,0,,.750,0,0,0,1,1,1,0,0,0,0,3,3.0,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
3,35,6,2023-11-29,Holy Cross,@,Stonehill,REG (Non-Conf),W 59-32,,9,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,1,0,1,2,0,0,0,0,3,4.8,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
4,36,7,2023-12-03,Holy Cross,@,Vermont,REG (Non-Conf),L 44-46,,15,1,3,.333,0,1,.000,1,2,.500,.333,0,0,2,2,4,1,0,0,1,0,2,2.0,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
5,37,8,2023-12-07,Holy Cross,,Connecticut Col.,REG (Non-Conf),W 80-39,,25,2,7,.286,1,5,.200,1,2,.500,.357,0,0,2,5,7,6,0,0,1,0,5,7.0,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
6,38,9,2023-12-10,Holy Cross,@,Quinnipiac,REG (Non-Conf),L 63-66,,24,1,5,.200,1,3,.333,0,2,.000,.300,0,0,0,5,5,1,1,3,4,1,3,0.8,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
7,39,10,2023-12-17,Holy Cross,,Northeastern,REG (Non-Conf),W 65-41,,11,0,2,.000,0,2,.000,0,0,,.000,0,0,0,1,1,2,0,0,0,1,0,-0.1,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
8,40,11,2023-12-20,Holy Cross,,Merrimack,REG (Non-Conf),W 55-43,,9,0,2,.000,0,2,.000,0,0,,.000,0,0,0,1,1,1,0,0,0,0,0,-0.4,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
9,41,12,2024-01-03,Holy Cross,,Bucknell,REG (Conf),W 69-54,,15,1,5,.200,0,2,.000,1,3,.333,.200,0,0,1,3,4,2,2,1,0,1,2,4.2,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
10,42,13,2024-01-06,Holy Cross,,Army,REG (Conf),W 67-52,,4,0,0,,0,0,,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
11,43,14,2024-01-10,Holy Cross,@,Navy,REG (Conf),W 69-54,,9,0,1,.000,0,1,.000,0,0,,.000,0,0,1,5,6,0,0,0,0,2,0,0.7,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
12,44,15,2024-01-13,Holy Cross,,Lehigh,REG (Conf),W 75-54,,22,1,5,.200,0,2,.000,1,3,.333,.200,0,0,3,2,5,2,1,0,2,1,2,1.6,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
13,45,16,2024-01-17,Holy Cross,@,Lafayette,REG (Conf),W 80-57,,13,1,4,.250,0,2,.000,1,2,.500,.250,0,0,0,3,3,2,0,0,1,1,2,0.5,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
14,46,17,2024-01-20,Holy Cross,@,Loyola (MD),REG (Conf),W 71-51,,12,0,1,.000,0,1,.000,0,0,,.000,0,0,0,1,1,1,1,0,2,2,0,-1.5,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
15,47,19,2024-01-27,Holy Cross,@,Lehigh,REG (Conf),L 60-70,,20,0,2,.000,0,1,.000,0,1,.000,.000,0,0,2,1,3,3,1,0,2,1,0,1.0,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
16,48,20,2024-01-29,Holy Cross,,Boston University,REG (Conf),W 61-50,,4,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,0,0,0,0,0,0,0,2,2,0.2,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
17,49,21,2024-02-03,Holy Cross,,Loyola (MD),REG (Conf),L 47-60,,3,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
18,50,23,2024-02-14,Holy Cross,,Colgate,REG (Conf),L 43-60,,5,0,0,,0,0,,0,0,,,0,0,1,0,1,0,0,0,1,0,0,-0.3,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
19,51,24,2024-02-17,Holy Cross,@,Army,REG (Conf),L 43-58,,6,0,1,.000,0,1,.000,0,0,,.000,0,0,0,5,5,0,0,1,2,2,0,-1.3,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
20,52,33,2024-03-21,Holy Cross,N,UT Martin,FIRST-FOUR,W 72-45,,8,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,0,1,1,1,1,1,3,0,2,0.0,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
21,53,34,2024-03-23,Holy Cross,@,Iowa,ROUND-64,L 65-91,,8,1,3,.333,0,1,.000,1,2,.500,.333,0,0,0,0,0,0,0,0,0,1,2,-0.1,Mary-Elizabeth Donnelly,https://www.sports-reference.com/cbb/players/mary-elizabeth-donnelly-1.html,holy-cross,2023-24
