ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,17,8,2023-12-03,Wisconsin,,Butler,REG (Non-Conf),L 51-59,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Lily Krahn,https://www.sports-reference.com/cbb/players/lily-krahn-1.html,wisconsin,2023-24
2,18,10,2023-12-13,Wisconsin,@,St. Thomas,REG (Non-Conf),W 78-55,,6,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,Lily Krahn,https://www.sports-reference.com/cbb/players/lily-krahn-1.html,wisconsin,2023-24
3,19,11,2023-12-21,Wisconsin,,Eastern Illinois,REG (Non-Conf),W 76-64,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Lily Krahn,https://www.sports-reference.com/cbb/players/lily-krahn-1.html,wisconsin,2023-24
4,20,12,2023-12-30,Wisconsin,@,Purdue,REG (Conf),L 50-89,,6,0,1,.000,0,1,.000,0,0,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,Lily Krahn,https://www.sports-reference.com/cbb/players/lily-krahn-1.html,wisconsin,2023-24
5,21,16,2024-01-13,Wisconsin,@,Michigan,REG (Conf),L 52-76,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Lily Krahn,https://www.sports-reference.com/cbb/players/lily-krahn-1.html,wisconsin,2023-24
6,22,17,2024-01-16,Wisconsin,@,Iowa,REG (Conf),L 50-96,,2,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,0,0,2,0,0,-2.7,Lily Krahn,https://www.sports-reference.com/cbb/players/lily-krahn-1.html,wisconsin,2023-24
7,23,19,2024-01-27,Wisconsin,,Rutgers,REG (Conf),W 73-62,,5,0,2,.000,0,2,.000,0,0,.000,0,0,,0,0,0,1,1,0,0,0,0,0.3,Lily Krahn,https://www.sports-reference.com/cbb/players/lily-krahn-1.html,wisconsin,2023-24
8,24,20,2024-02-01,Wisconsin,@,Ohio State,REG (Conf),L 49-87,,5,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,Lily Krahn,https://www.sports-reference.com/cbb/players/lily-krahn-1.html,wisconsin,2023-24
9,25,21,2024-02-04,Wisconsin,@,Northwestern,REG (Conf),L 43-69,,4,0,2,.000,0,2,.000,0,0,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,Lily Krahn,https://www.sports-reference.com/cbb/players/lily-krahn-1.html,wisconsin,2023-24
10,26,24,2024-02-17,Wisconsin,@,Rutgers,REG (Conf),W 61-43,,2,0,1,.000,0,1,.000,0,0,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,Lily Krahn,https://www.sports-reference.com/cbb/players/lily-krahn-1.html,wisconsin,2023-24
11,27,25,2024-02-20,Wisconsin,@,Minnesota,REG (Conf),W 67-56,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Lily Krahn,https://www.sports-reference.com/cbb/players/lily-krahn-1.html,wisconsin,2023-24
12,28,28,2024-03-03,Wisconsin,,Michigan State,REG (Conf),L 52-78,,4,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,1,0,0,0,0,0.3,Lily Krahn,https://www.sports-reference.com/cbb/players/lily-krahn-1.html,wisconsin,2023-24
13,29,29,2024-03-07,Wisconsin,N,Penn State,CTOURN,L 56-80,,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Lily Krahn,https://www.sports-reference.com/cbb/players/lily-krahn-1.html,wisconsin,2023-24
